date;Robert Graves;Sviatlana Tsikhanouskaya;JK Rowling;Sleep;air travel;isPartial
2022-01-02;1;0;100;0;28;False
2022-01-09;0;0;32;0;32;False
2022-01-16;1;1;32;0;24;False
2022-01-23;1;0;22;0;26;False
2022-01-30;1;0;14;0;29;False
2022-02-06;1;0;15;0;29;False
2022-02-13;1;1;11;0;30;False
2022-02-20;1;1;15;0;30;False
2022-02-27;1;1;26;0;26;False
2022-03-06;1;1;39;0;28;False
2022-03-13;0;1;73;0;28;False
2022-03-20;1;0;63;0;27;False
2022-03-27;1;0;28;0;29;False
2022-04-03;1;0;27;0;26;False
2022-04-10;1;0;41;0;23;False
2022-04-17;0;1;26;0;25;False
2022-04-24;1;0;27;0;26;False
2022-05-01;1;0;20;0;27;False
2022-05-08;2;0;16;0;27;False
2022-05-15;2;0;37;0;29;False
2022-05-22;2;0;45;0;27;False
2022-05-29;1;0;25;0;28;False
2022-06-05;1;0;16;0;31;False
2022-06-12;1;0;14;0;28;False
2022-06-19;1;0;18;0;25;False
2022-06-26;1;0;32;0;27;False
2022-07-03;1;0;19;0;28;False
2022-07-10;1;0;18;0;29;False
2022-07-17;1;0;25;0;28;False
2022-07-24;1;0;20;0;28;False
2022-07-31;0;0;15;0;25;False
2022-08-07;1;0;19;0;24;False
2022-08-14;0;0;31;0;24;False
2022-08-21;1;0;19;0;21;False
2022-08-28;1;0;47;0;23;False
2022-09-04;0;0;21;0;25;False
2022-09-11;0;1;16;0;21;False
2022-09-18;0;0;20;0;21;False
2022-09-25;1;0;19;0;21;False
2022-10-02;1;0;43;0;20;False
2022-10-09;1;0;50;0;20;False
2022-10-16;1;0;28;0;18;False
2022-10-23;1;0;35;0;16;False
2022-10-30;1;1;22;0;16;False
2022-11-06;1;0;17;0;18;False
2022-11-13;0;1;17;0;15;False
2022-11-20;0;0;13;0;19;False
2022-11-27;0;0;21;0;19;False
2022-12-04;0;0;15;0;16;False
2022-12-11;1;0;49;0;16;False
2022-12-18;0;0;48;0;15;False
2022-12-25;0;0;34;0;20;False
2023-01-01;1;0;24;0;24;False
2023-01-08;1;0;25;0;22;False
2023-01-15;1;1;33;0;21;False
2023-01-22;2;0;66;0;20;False
2023-01-29;1;0;47;0;21;False
