date;david davis;Parents and parenting;Social work;Pakistan;air travel;isPartial
2022-01-02;1;0;6;27;2;False
2022-01-09;1;0;7;28;3;False
2022-01-16;5;0;7;26;2;False
2022-01-23;1;0;7;29;2;False
2022-01-30;1;0;7;28;3;False
2022-02-06;0;0;7;28;3;False
2022-02-13;0;0;6;28;3;False
2022-02-20;0;0;6;35;3;False
2022-02-27;0;0;6;39;2;False
2022-03-06;0;0;7;42;2;False
2022-03-13;0;0;7;42;2;False
2022-03-20;0;0;6;44;2;False
2022-03-27;0;0;6;53;2;False
2022-04-03;0;0;6;61;2;False
2022-04-10;0;0;5;48;2;False
2022-04-17;0;0;5;32;2;False
2022-04-24;0;0;6;29;2;False
2022-05-01;0;0;6;30;2;False
2022-05-08;0;0;6;31;2;False
2022-05-15;0;0;6;35;2;False
2022-05-22;0;0;6;37;2;False
2022-05-29;0;0;4;34;2;False
2022-06-05;1;0;6;45;3;False
2022-06-12;1;0;5;39;2;False
2022-06-19;0;0;5;34;2;False
2022-06-26;0;0;5;33;2;False
2022-07-03;1;0;5;30;2;False
2022-07-10;1;0;5;32;3;False
2022-07-17;1;0;5;50;2;False
2022-07-24;0;0;5;55;2;False
2022-07-31;0;0;5;41;2;False
2022-08-07;0;0;4;35;2;False
2022-08-14;0;0;5;38;2;False
2022-08-21;0;0;5;40;2;False
2022-08-28;0;0;5;100;2;False
2022-09-04;0;0;5;90;2;False
2022-09-11;1;0;6;59;2;False
2022-09-18;0;0;6;76;2;False
2022-09-25;1;0;6;71;2;False
2022-10-02;1;0;7;58;2;False
2022-10-09;1;0;6;43;2;False
2022-10-16;0;0;6;49;2;False
2022-10-23;0;0;6;67;1;False
2022-10-30;0;0;6;52;1;False
2022-11-06;0;0;7;67;2;False
2022-11-13;0;0;7;64;1;False
2022-11-20;1;0;7;32;2;False
2022-11-27;0;0;8;60;2;False
2022-12-04;0;0;6;71;1;False
2022-12-11;0;0;6;56;1;False
2022-12-18;0;0;4;58;1;False
2022-12-25;0;0;3;47;2;False
2023-01-01;0;0;5;44;2;False
2023-01-08;0;0;6;45;2;False
2023-01-15;0;0;6;31;2;False
2023-01-22;0;0;6;43;2;False
2023-01-29;1;0;7;45;2;False
