date;MRSA and superbugs;Simulation games;Cristiano Ronaldo;Motoring;air travel;isPartial
2022-01-02;0;0;9;6;5;False
2022-01-09;0;0;11;6;6;False
2022-01-16;0;0;10;7;5;False
2022-01-23;0;0;16;7;5;False
2022-01-30;0;0;26;7;6;False
2022-02-06;0;0;17;6;6;False
2022-02-13;0;0;13;6;6;False
2022-02-20;0;0;11;6;6;False
2022-02-27;0;0;7;6;5;False
2022-03-06;0;0;17;6;5;False
2022-03-13;0;0;14;6;5;False
2022-03-20;0;0;8;6;5;False
2022-03-27;0;0;8;6;6;False
2022-04-03;0;0;10;6;5;False
2022-04-10;0;0;18;6;4;False
2022-04-17;0;0;100;6;5;False
2022-04-24;0;0;15;6;5;False
2022-05-01;0;0;15;7;5;False
2022-05-08;0;1;10;6;5;False
2022-05-15;0;0;9;6;6;False
2022-05-22;0;0;9;7;5;False
2022-05-29;0;0;9;7;5;False
2022-06-05;0;0;9;7;6;False
2022-06-12;0;0;11;7;5;False
2022-06-19;0;0;12;7;5;False
2022-06-26;0;0;13;7;5;False
2022-07-03;0;0;19;7;5;False
2022-07-10;0;0;15;8;6;False
2022-07-17;0;0;15;7;5;False
2022-07-24;0;0;18;6;5;False
2022-07-31;0;0;15;7;5;False
2022-08-07;0;0;15;6;5;False
2022-08-14;0;0;14;6;5;False
2022-08-21;0;0;17;7;4;False
2022-08-28;0;0;18;7;4;False
2022-09-04;0;0;9;6;5;False
2022-09-11;0;0;8;9;4;False
2022-09-18;0;0;8;6;4;False
2022-09-25;0;0;11;6;4;False
2022-10-02;0;0;11;6;4;False
2022-10-09;0;1;11;7;4;False
2022-10-16;0;0;17;6;3;False
2022-10-23;0;0;12;6;3;False
2022-10-30;0;0;9;6;3;False
2022-11-06;0;0;11;6;4;False
2022-11-13;0;0;54;6;3;False
2022-11-20;0;0;48;6;4;False
2022-11-27;0;0;25;6;4;False
2022-12-04;0;0;39;5;3;False
2022-12-11;0;0;26;5;3;False
2022-12-18;0;0;33;5;3;False
2022-12-25;0;1;29;5;4;False
2023-01-01;0;0;22;6;5;False
2023-01-08;0;0;13;7;4;False
2023-01-15;0;0;13;8;4;False
2023-01-22;0;0;11;7;4;False
2023-01-29;0;0;10;8;4;False
