date;Colonialism;Erling Haaland;Edinburgh;Queensland;air travel;isPartial
2022-01-02;0;0;57;1;1;False
2022-01-09;0;0;62;1;1;False
2022-01-16;0;0;56;1;1;False
2022-01-23;0;0;62;1;1;False
2022-01-30;0;0;64;1;1;False
2022-02-06;0;0;61;1;1;False
2022-02-13;0;0;62;1;1;False
2022-02-20;0;0;68;1;1;False
2022-02-27;0;0;59;1;1;False
2022-03-06;0;0;57;1;1;False
2022-03-13;0;1;62;1;1;False
2022-03-20;0;0;65;1;1;False
2022-03-27;0;0;63;1;1;False
2022-04-03;0;0;64;1;1;False
2022-04-10;0;0;70;1;1;False
2022-04-17;0;1;63;1;1;False
2022-04-24;0;1;61;1;1;False
2022-05-01;0;1;68;1;1;False
2022-05-08;0;3;63;1;1;False
2022-05-15;0;1;68;1;1;False
2022-05-22;0;1;71;1;1;False
2022-05-29;0;1;73;1;1;False
2022-06-05;0;1;69;1;1;False
2022-06-12;0;2;75;1;1;False
2022-06-19;0;0;68;1;1;False
2022-06-26;0;0;68;1;1;False
2022-07-03;0;0;63;1;1;False
2022-07-10;0;1;70;1;1;False
2022-07-17;0;1;70;1;1;False
2022-07-24;0;1;75;1;1;False
2022-07-31;0;1;86;1;1;False
2022-08-07;0;2;86;1;1;False
2022-08-14;0;0;81;1;1;False
2022-08-21;0;1;79;1;1;False
2022-08-28;0;3;78;0;1;False
2022-09-04;1;2;76;1;1;False
2022-09-11;1;2;100;1;1;False
2022-09-18;0;1;75;0;1;False
2022-09-25;0;1;68;0;1;False
2022-10-02;0;7;67;1;1;False
2022-10-09;0;3;69;1;1;False
2022-10-16;0;2;66;0;1;False
2022-10-23;0;3;69;1;1;False
2022-10-30;0;2;64;1;1;False
2022-11-06;0;1;66;1;1;False
2022-11-13;0;2;66;1;0;False
2022-11-20;0;1;61;1;1;False
2022-11-27;0;0;67;1;1;False
2022-12-04;0;0;62;1;1;False
2022-12-11;0;0;64;1;1;False
2022-12-18;0;1;67;1;0;False
2022-12-25;0;2;65;1;1;False
2023-01-01;0;1;63;1;1;False
2023-01-08;0;1;61;1;1;False
2023-01-15;0;1;60;1;1;False
2023-01-22;0;1;66;1;1;False
2023-01-29;0;0;62;1;1;False
