date;Glass Animals;somalia;Memphis Grizzlies;Claudia Winkleman;air travel;isPartial
2022-01-02;5;12;2;9;17;False
2022-01-09;3;11;2;11;19;False
2022-01-16;3;12;1;11;15;False
2022-01-23;6;11;1;6;16;False
2022-01-30;5;13;1;22;18;False
2022-02-06;6;13;2;8;18;False
2022-02-13;4;12;1;5;18;False
2022-02-20;4;22;1;4;19;False
2022-02-27;3;22;2;10;16;False
2022-03-06;13;15;2;7;17;False
2022-03-13;5;15;1;5;17;False
2022-03-20;4;15;2;4;17;False
2022-03-27;4;16;2;4;18;False
2022-04-03;4;15;2;6;16;False
2022-04-10;4;14;2;7;14;False
2022-04-17;4;13;4;4;16;False
2022-04-24;4;13;5;6;16;False
2022-05-01;4;12;5;4;17;False
2022-05-08;4;12;3;4;17;False
2022-05-15;3;26;1;3;18;False
2022-05-22;3;15;0;3;17;False
2022-05-29;3;13;1;4;17;False
2022-06-05;3;12;0;5;19;False
2022-06-12;3;14;0;5;17;False
2022-06-19;13;14;0;12;16;False
2022-06-26;11;13;1;10;17;False
2022-07-03;5;11;1;7;18;False
2022-07-10;4;19;1;5;18;False
2022-07-17;4;15;1;4;17;False
2022-07-24;4;17;1;6;17;False
2022-07-31;3;11;0;5;16;False
2022-08-07;4;12;0;6;15;False
2022-08-14;3;10;1;5;15;False
2022-08-21;7;11;0;8;13;False
2022-08-28;6;10;0;6;14;False
2022-09-04;3;10;1;5;15;False
2022-09-11;2;11;0;4;13;False
2022-09-18;3;12;0;14;13;False
2022-09-25;2;10;0;13;13;False
2022-10-02;2;20;1;15;13;False
2022-10-09;2;15;1;13;12;False
2022-10-16;3;20;2;100;11;False
2022-10-23;2;14;1;22;10;False
2022-10-30;2;14;1;19;10;False
2022-11-06;2;13;2;13;11;False
2022-11-13;2;16;1;15;10;False
2022-11-20;2;13;1;12;12;False
2022-11-27;3;15;1;43;12;False
2022-12-04;2;12;1;20;10;False
2022-12-11;2;13;2;47;10;False
2022-12-18;3;13;1;49;10;False
2022-12-25;2;12;2;31;13;False
2023-01-01;2;14;1;21;15;False
2023-01-08;2;17;1;13;14;False
2023-01-15;2;13;2;16;13;False
2023-01-22;2;14;2;11;12;False
2023-01-29;2;11;2;10;13;False
