date;Manchester City;sir geoffrey cox;canada;Derby County;air travel;isPartial
2022-01-02;15;0;54;12;2;False
2022-01-09;14;0;49;13;3;False
2022-01-16;12;0;63;25;2;False
2022-01-23;12;0;58;17;2;False
2022-01-30;13;0;56;25;3;False
2022-02-06;13;0;50;18;3;False
2022-02-13;18;0;54;13;3;False
2022-02-20;15;0;53;17;3;False
2022-02-27;14;0;46;17;2;False
2022-03-06;22;0;45;10;2;False
2022-03-13;15;0;44;11;2;False
2022-03-20;12;0;43;8;2;False
2022-03-27;12;0;47;10;3;False
2022-04-03;17;0;41;12;2;False
2022-04-10;35;0;39;13;2;False
2022-04-17;20;0;39;15;2;False
2022-04-24;25;0;40;7;2;False
2022-05-01;32;0;44;9;2;False
2022-05-08;24;0;42;9;2;False
2022-05-15;21;0;44;8;3;False
2022-05-22;31;0;41;7;2;False
2022-05-29;10;0;46;9;2;False
2022-06-05;10;0;44;19;3;False
2022-06-12;10;0;53;14;2;False
2022-06-19;9;0;51;13;2;False
2022-06-26;10;0;42;19;2;False
2022-07-03;10;0;45;16;3;False
2022-07-10;11;0;45;12;3;False
2022-07-17;13;0;43;11;2;False
2022-07-24;16;0;48;13;2;False
2022-07-31;12;0;49;11;2;False
2022-08-07;22;0;52;11;2;False
2022-08-14;12;0;46;9;2;False
2022-08-21;27;0;46;11;2;False
2022-08-28;21;0;46;11;2;False
2022-09-04;14;0;66;6;2;False
2022-09-11;22;0;53;9;2;False
2022-09-18;10;0;52;8;2;False
2022-09-25;11;0;60;7;2;False
2022-10-02;29;0;50;9;2;False
2022-10-09;15;0;51;7;2;False
2022-10-16;22;0;52;9;2;False
2022-10-23;16;0;48;8;1;False
2022-10-30;17;0;48;7;1;False
2022-11-06;20;0;54;26;2;False
2022-11-13;10;0;57;10;1;False
2022-11-20;9;0;100;4;2;False
2022-11-27;9;0;94;8;2;False
2022-12-04;9;0;62;5;1;False
2022-12-11;9;0;63;5;1;False
2022-12-18;13;0;61;4;1;False
2022-12-25;17;0;65;10;2;False
2023-01-01;15;0;57;9;2;False
2023-01-08;28;0;52;10;2;False
2023-01-15;18;0;52;9;2;False
2023-01-22;21;0;51;10;2;False
2023-01-29;12;0;50;19;2;False
