date;Pollution;Davos 2022;Johannes Vermeer;Alabama;air travel;isPartial
2022-01-02;49;2;1;47;35;False
2022-01-09;78;1;2;62;38;False
2022-01-16;69;3;0;45;30;False
2022-01-23;61;1;0;46;33;False
2022-01-30;61;1;0;47;37;False
2022-02-06;57;0;1;41;37;False
2022-02-13;52;0;1;40;37;False
2022-02-20;50;1;0;45;38;False
2022-02-27;58;1;0;52;33;False
2022-03-06;66;1;0;51;35;False
2022-03-13;70;0;1;38;35;False
2022-03-20;100;1;1;37;34;False
2022-03-27;67;1;0;40;36;False
2022-04-03;47;1;0;50;33;False
2022-04-10;40;1;1;52;29;False
2022-04-17;52;0;0;45;32;False
2022-04-24;78;2;0;47;33;False
2022-05-01;67;1;0;58;34;False
2022-05-08;68;2;0;53;35;False
2022-05-15;64;3;0;39;36;False
2022-05-22;54;11;1;51;34;False
2022-05-29;36;2;0;46;35;False
2022-06-05;53;2;0;43;39;False
2022-06-12;64;0;0;43;34;False
2022-06-19;53;0;0;46;32;False
2022-06-26;49;1;0;47;34;False
2022-07-03;50;0;1;50;36;False
2022-07-10;50;0;0;62;37;False
2022-07-17;43;2;0;50;35;False
2022-07-24;35;1;1;50;35;False
2022-07-31;35;1;0;52;31;False
2022-08-07;43;1;0;63;31;False
2022-08-14;64;0;1;51;30;False
2022-08-21;51;0;1;53;26;False
2022-08-28;38;0;1;41;29;False
2022-09-04;43;0;0;50;31;False
2022-09-11;56;1;1;43;27;False
2022-09-18;37;0;1;42;26;False
2022-09-25;45;0;0;46;27;False
2022-10-02;49;0;1;51;25;False
2022-10-09;49;0;1;54;24;False
2022-10-16;50;0;1;57;22;False
2022-10-23;45;1;0;48;21;False
2022-10-30;52;0;1;47;21;False
2022-11-06;59;0;1;52;23;False
2022-11-13;55;0;0;49;19;False
2022-11-20;49;0;0;35;24;False
2022-11-27;55;1;1;38;24;False
2022-12-04;55;0;0;34;20;False
2022-12-11;52;0;1;35;21;False
2022-12-18;31;0;1;38;19;False
2022-12-25;30;0;1;53;26;False
2023-01-01;45;0;0;49;30;False
2023-01-08;52;0;1;44;28;False
2023-01-15;58;1;1;46;27;False
2023-01-22;70;0;1;42;25;False
2023-01-29;72;0;1;45;27;False
