date;Judd Apatow;Paul Dano;Curry;Salma Hayek;air travel;isPartial
2022-01-02;0;0;100;5;4;False
2022-01-09;0;1;96;5;4;False
2022-01-16;1;1;85;4;3;False
2022-01-23;0;0;89;3;3;False
2022-01-30;0;1;82;3;4;False
2022-02-06;0;0;81;2;4;False
2022-02-13;1;1;81;2;4;False
2022-02-20;1;1;79;2;4;False
2022-02-27;1;4;75;3;3;False
2022-03-06;0;6;75;2;4;False
2022-03-13;0;4;71;4;4;False
2022-03-20;0;4;69;2;4;False
2022-03-27;2;3;68;3;4;False
2022-04-03;1;2;74;3;3;False
2022-04-10;1;2;67;3;3;False
2022-04-17;0;3;75;2;3;False
2022-04-24;0;2;73;2;3;False
2022-05-01;0;2;83;2;4;False
2022-05-08;0;1;68;2;4;False
2022-05-15;0;1;68;1;4;False
2022-05-22;0;1;75;1;4;False
2022-05-29;0;1;69;1;4;False
2022-06-05;0;1;73;2;4;False
2022-06-12;0;1;75;1;4;False
2022-06-19;0;1;66;2;3;False
2022-06-26;0;0;69;1;4;False
2022-07-03;0;0;64;1;4;False
2022-07-10;0;0;63;1;4;False
2022-07-17;0;0;55;1;4;False
2022-07-24;0;0;71;3;4;False
2022-07-31;0;0;65;3;3;False
2022-08-07;0;1;66;3;3;False
2022-08-14;0;0;63;2;3;False
2022-08-21;0;0;73;2;3;False
2022-08-28;0;0;77;3;3;False
2022-09-04;0;0;76;2;3;False
2022-09-11;0;0;74;2;3;False
2022-09-18;0;0;79;2;3;False
2022-09-25;0;0;90;1;3;False
2022-10-02;0;0;80;2;3;False
2022-10-09;0;0;79;2;3;False
2022-10-16;0;1;82;2;2;False
2022-10-23;0;0;79;2;2;False
2022-10-30;0;0;82;2;2;False
2022-11-06;0;0;85;2;2;False
2022-11-13;0;1;81;3;2;False
2022-11-20;0;0;76;1;3;False
2022-11-27;0;1;76;2;2;False
2022-12-04;0;0;66;1;2;False
2022-12-11;0;1;70;2;2;False
2022-12-18;0;1;69;2;2;False
2022-12-25;0;1;100;2;3;False
2023-01-01;0;1;90;2;3;False
2023-01-08;0;1;89;3;3;False
2023-01-15;0;1;82;2;3;False
2023-01-22;0;1;87;3;3;False
2023-01-29;0;1;85;8;3;False
