date;Reed Hastings;Condé Nast;Press freedom;Ezra Miller;air travel;isPartial
2022-01-02;0;1;1;3;17;False
2022-01-09;0;0;1;3;19;False
2022-01-16;0;0;1;2;15;False
2022-01-23;0;0;0;4;16;False
2022-01-30;0;0;1;3;18;False
2022-02-06;0;0;1;2;18;False
2022-02-13;1;0;1;2;18;False
2022-02-20;1;0;1;3;19;False
2022-02-27;0;0;1;2;16;False
2022-03-06;1;0;0;2;17;False
2022-03-13;1;0;1;1;17;False
2022-03-20;1;0;1;2;17;False
2022-03-27;0;0;1;33;18;False
2022-04-03;0;0;0;40;16;False
2022-04-10;0;0;1;22;14;False
2022-04-17;1;0;0;66;16;False
2022-04-24;0;0;1;19;16;False
2022-05-01;0;0;3;11;16;False
2022-05-08;0;0;1;15;17;False
2022-05-15;0;0;1;14;18;False
2022-05-22;1;0;0;5;17;False
2022-05-29;0;0;0;8;17;False
2022-06-05;0;0;1;24;19;False
2022-06-12;0;0;1;100;17;False
2022-06-19;0;0;0;79;15;False
2022-06-26;0;1;0;36;17;False
2022-07-03;0;0;0;30;17;False
2022-07-10;0;0;0;12;18;False
2022-07-17;0;0;1;8;17;False
2022-07-24;0;0;0;11;17;False
2022-07-31;0;0;0;26;15;False
2022-08-07;0;0;0;62;15;False
2022-08-14;0;0;0;50;15;False
2022-08-21;0;0;0;10;13;False
2022-08-28;0;0;0;8;14;False
2022-09-04;0;0;0;5;15;False
2022-09-11;0;0;0;6;13;False
2022-09-18;0;0;0;15;13;False
2022-09-25;1;0;1;6;13;False
2022-10-02;0;0;1;4;12;False
2022-10-09;0;0;1;6;12;False
2022-10-16;0;0;0;25;11;False
2022-10-23;0;0;0;7;10;False
2022-10-30;0;0;0;3;10;False
2022-11-06;0;0;1;4;11;False
2022-11-13;0;0;1;4;9;False
2022-11-20;0;0;1;2;12;False
2022-11-27;0;0;0;2;12;False
2022-12-04;0;0;0;2;10;False
2022-12-11;0;0;1;4;10;False
2022-12-18;0;0;1;5;9;False
2022-12-25;0;0;0;11;12;False
2023-01-01;0;0;0;8;15;False
2023-01-08;0;0;1;14;13;False
2023-01-15;1;0;1;6;13;False
2023-01-22;1;0;1;4;12;False
2023-01-29;0;0;1;7;13;False
