date;LIV Golf Series;Paul Merton;Financial crisis;Dmitry Medvedev;air travel;isPartial
2022-01-02;0;8;20;0;90;False
2022-01-09;0;11;20;0;98;False
2022-01-16;1;6;21;2;77;False
2022-01-23;0;10;27;1;84;False
2022-01-30;1;8;23;3;95;False
2022-02-06;0;73;21;2;96;False
2022-02-13;0;8;19;2;96;False
2022-02-20;0;7;18;24;98;False
2022-02-27;1;6;33;21;86;False
2022-03-06;0;15;33;8;90;False
2022-03-13;0;13;33;9;90;False
2022-03-20;0;5;28;9;88;False
2022-03-27;0;21;26;2;93;False
2022-04-03;0;13;26;6;85;False
2022-04-10;0;9;22;7;74;False
2022-04-17;0;10;24;5;82;False
2022-04-24;2;14;24;2;84;False
2022-05-01;0;19;27;4;87;False
2022-05-08;2;21;28;4;89;False
2022-05-15;2;12;18;4;93;False
2022-05-22;1;10;25;1;88;False
2022-05-29;4;9;18;2;90;False
2022-06-05;26;6;23;6;100;False
2022-06-12;5;6;14;5;87;False
2022-06-19;3;9;17;2;81;False
2022-06-26;2;6;16;3;87;False
2022-07-03;2;6;13;1;92;False
2022-07-10;2;6;18;1;95;False
2022-07-17;1;7;18;2;91;False
2022-07-24;0;5;15;1;90;False
2022-07-31;2;3;15;1;81;False
2022-08-07;0;7;18;2;78;False
2022-08-14;0;3;11;1;77;False
2022-08-21;1;5;16;0;67;False
2022-08-28;4;9;16;2;74;False
2022-09-04;0;3;18;1;80;False
2022-09-11;2;6;14;2;69;False
2022-09-18;0;6;18;5;66;False
2022-09-25;1;10;48;6;68;False
2022-10-02;0;12;28;2;65;False
2022-10-09;1;9;27;3;63;False
2022-10-16;0;13;28;6;57;False
2022-10-23;0;13;24;1;53;False
2022-10-30;0;7;22;3;53;False
2022-11-06;0;10;32;2;59;False
2022-11-13;0;5;34;0;50;False
2022-11-20;1;3;17;2;62;False
2022-11-27;0;3;24;1;61;False
2022-12-04;0;4;27;2;52;False
2022-12-11;0;4;20;0;53;False
2022-12-18;1;4;15;1;50;False
2022-12-25;1;26;9;12;66;False
2023-01-01;0;84;18;5;77;False
2023-01-08;0;85;27;2;71;False
2023-01-15;0;66;21;4;69;False
2023-01-22;0;49;18;2;64;False
2023-01-29;0;16;22;0;69;False
