date;hydrogen;Alan Jones;Aids and HIV;Music books;air travel;isPartial
2022-01-02;82;3;1;6;25;False
2022-01-09;90;2;1;8;29;False
2022-01-16;90;1;2;5;21;False
2022-01-23;91;2;1;7;24;False
2022-01-30;90;4;1;6;27;False
2022-02-06;87;3;2;5;27;False
2022-02-13;79;2;2;6;27;False
2022-02-20;86;2;1;5;27;False
2022-02-27;90;2;2;6;24;False
2022-03-06;89;2;1;6;25;False
2022-03-13;92;3;1;5;25;False
2022-03-20;89;2;1;5;24;False
2022-03-27;85;2;1;5;26;False
2022-04-03;84;2;1;6;24;False
2022-04-10;72;2;1;4;20;False
2022-04-17;73;2;1;6;23;False
2022-04-24;84;3;1;5;23;False
2022-05-01;85;2;1;6;24;False
2022-05-08;91;3;1;5;25;False
2022-05-15;88;1;2;5;26;False
2022-05-22;89;2;1;5;25;False
2022-05-29;67;1;0;6;25;False
2022-06-05;79;2;2;5;28;False
2022-06-12;80;2;2;6;25;False
2022-06-19;78;2;1;6;23;False
2022-06-26;72;2;1;5;24;False
2022-07-03;74;2;1;4;26;False
2022-07-10;72;3;1;6;27;False
2022-07-17;68;2;1;4;25;False
2022-07-24;66;4;1;5;25;False
2022-07-31;64;3;1;5;22;False
2022-08-07;67;2;1;5;22;False
2022-08-14;61;2;1;6;21;False
2022-08-21;61;1;1;6;19;False
2022-08-28;66;2;1;5;21;False
2022-09-04;80;3;0;6;22;False
2022-09-11;84;2;0;7;19;False
2022-09-18;86;1;1;6;19;False
2022-09-25;91;3;1;5;19;False
2022-10-02;90;3;1;7;18;False
2022-10-09;87;3;1;6;18;False
2022-10-16;84;3;1;5;16;False
2022-10-23;84;2;1;7;15;False
2022-10-30;93;3;1;6;15;False
2022-11-06;100;2;1;8;17;False
2022-11-13;91;2;1;7;14;False
2022-11-20;81;2;1;8;17;False
2022-11-27;93;2;1;9;17;False
2022-12-04;82;1;1;9;14;False
2022-12-11;77;2;1;9;15;False
2022-12-18;68;3;1;7;14;False
2022-12-25;56;3;0;6;18;False
2023-01-01;76;3;2;6;21;False
2023-01-08;86;2;1;7;20;False
2023-01-15;98;3;2;5;19;False
2023-01-22;88;3;1;5;18;False
2023-01-29;91;3;2;7;19;False
