date;Equestrianism;social media;Lady Gaga;Starter;air travel;isPartial
2022-01-02;0;53;29;63;11;False
2022-01-09;0;57;23;66;12;False
2022-01-16;0;48;21;63;9;False
2022-01-23;0;52;22;70;10;False
2022-01-30;0;57;23;65;12;False
2022-02-06;0;53;25;60;12;False
2022-02-13;0;51;21;61;12;False
2022-02-20;0;55;21;61;12;False
2022-02-27;0;56;20;65;10;False
2022-03-06;0;53;32;62;11;False
2022-03-13;0;57;32;56;11;False
2022-03-20;0;55;21;63;11;False
2022-03-27;0;61;33;58;11;False
2022-04-03;0;56;32;61;10;False
2022-04-10;0;46;20;57;9;False
2022-04-17;0;49;18;58;10;False
2022-04-24;0;62;20;56;10;False
2022-05-01;0;54;32;62;10;False
2022-05-08;0;59;23;58;11;False
2022-05-15;0;50;21;57;11;False
2022-05-22;0;47;22;52;11;False
2022-05-29;0;39;28;52;11;False
2022-06-05;0;47;26;54;12;False
2022-06-12;0;48;35;56;11;False
2022-06-19;0;48;30;54;10;False
2022-06-26;0;44;31;55;11;False
2022-07-03;0;47;30;52;11;False
2022-07-10;0;48;31;59;12;False
2022-07-17;0;42;39;57;11;False
2022-07-24;0;41;69;55;11;False
2022-07-31;0;44;41;55;10;False
2022-08-07;0;43;31;55;9;False
2022-08-14;0;41;32;54;9;False
2022-08-21;0;42;24;57;8;False
2022-08-28;0;43;23;80;9;False
2022-09-04;0;47;20;57;10;False
2022-09-11;0;48;21;58;8;False
2022-09-18;0;46;27;56;8;False
2022-09-25;0;49;18;58;8;False
2022-10-02;0;51;17;61;8;False
2022-10-09;0;51;20;54;8;False
2022-10-16;0;49;20;53;7;False
2022-10-23;0;47;18;55;6;False
2022-10-30;0;51;18;58;6;False
2022-11-06;0;54;18;73;7;False
2022-11-13;0;54;17;88;6;False
2022-11-20;0;50;16;80;8;False
2022-11-27;0;51;18;74;7;False
2022-12-04;0;52;23;68;6;False
2022-12-11;0;49;23;87;6;False
2022-12-18;0;42;34;100;6;False
2022-12-25;0;36;34;73;8;False
2023-01-01;0;51;23;60;9;False
2023-01-08;0;57;23;58;9;False
2023-01-15;0;59;23;66;8;False
2023-01-22;0;56;23;64;8;False
2023-01-29;0;56;19;58;8;False
