date;Recep Tayyip Erdoğan;Parthenon marbles;Simon Schama;Crawley Town;air travel;isPartial
2022-01-02;3;0;0;25;71;False
2022-01-09;0;2;1;20;78;False
2022-01-16;0;0;4;20;61;False
2022-01-23;0;0;3;13;67;False
2022-01-30;0;1;2;25;76;False
2022-02-06;0;1;3;19;76;False
2022-02-13;0;2;5;14;76;False
2022-02-20;2;0;5;19;78;False
2022-02-27;1;0;6;26;68;False
2022-03-06;1;0;5;22;72;False
2022-03-13;0;1;3;22;71;False
2022-03-20;0;0;3;20;70;False
2022-03-27;1;1;1;17;74;False
2022-04-03;1;2;1;21;67;False
2022-04-10;1;0;3;19;58;False
2022-04-17;1;1;2;31;65;False
2022-04-24;1;1;0;25;67;False
2022-05-01;1;1;2;53;69;False
2022-05-08;1;1;0;15;71;False
2022-05-15;2;0;1;12;74;False
2022-05-22;1;1;0;13;70;False
2022-05-29;2;1;1;14;71;False
2022-06-05;1;0;3;17;79;False
2022-06-12;1;2;0;14;69;False
2022-06-19;1;1;4;21;65;False
2022-06-26;0;0;1;22;69;False
2022-07-03;1;0;3;27;73;False
2022-07-10;0;2;4;33;76;False
2022-07-17;1;2;1;19;72;False
2022-07-24;1;2;2;33;71;False
2022-07-31;1;1;3;33;64;False
2022-08-07;1;0;3;45;62;False
2022-08-14;1;0;0;42;61;False
2022-08-21;0;2;0;86;53;False
2022-08-28;0;1;5;47;59;False
2022-09-04;1;0;6;18;63;False
2022-09-11;2;1;6;26;55;False
2022-09-18;1;0;5;38;52;False
2022-09-25;2;1;2;20;54;False
2022-10-02;0;2;2;22;52;False
2022-10-09;1;2;1;31;50;False
2022-10-16;1;0;2;28;45;False
2022-10-23;1;2;3;52;42;False
2022-10-30;1;1;2;100;42;False
2022-11-06;1;1;3;80;47;False
2022-11-13;1;2;9;30;40;False
2022-11-20;1;1;4;25;50;False
2022-11-27;0;2;36;24;48;False
2022-12-04;0;2;26;30;41;False
2022-12-11;1;0;20;20;42;False
2022-12-18;1;0;10;16;40;False
2022-12-25;0;2;5;62;52;False
2023-01-01;1;3;6;59;61;False
2023-01-08;1;3;12;30;56;False
2023-01-15;0;2;9;30;55;False
2023-01-22;1;2;8;32;51;False
2023-01-29;2;1;7;38;55;False
