date;gareth bale;Deafness and hearing loss;Space;james webb space telescope;air travel;isPartial
2022-01-02;1;0;52;2;1;False
2022-01-09;1;0;51;1;2;False
2022-01-16;1;0;44;0;1;False
2022-01-23;1;0;48;1;1;False
2022-01-30;1;0;46;0;2;False
2022-02-06;1;0;43;1;2;False
2022-02-13;1;0;46;0;2;False
2022-02-20;1;0;47;0;2;False
2022-02-27;1;0;44;0;1;False
2022-03-06;1;0;44;0;1;False
2022-03-13;1;0;45;0;1;False
2022-03-20;8;0;45;0;1;False
2022-03-27;2;0;42;0;2;False
2022-04-03;1;0;39;0;1;False
2022-04-10;1;0;41;0;1;False
2022-04-17;1;0;41;0;1;False
2022-04-24;1;0;46;0;1;False
2022-05-01;2;0;47;0;1;False
2022-05-08;1;0;43;0;1;False
2022-05-15;1;0;46;0;2;False
2022-05-22;3;0;39;0;1;False
2022-05-29;5;0;38;0;1;False
2022-06-05;6;0;41;0;2;False
2022-06-12;2;0;41;0;1;False
2022-06-19;4;0;41;0;1;False
2022-06-26;2;0;39;0;1;False
2022-07-03;1;0;40;0;2;False
2022-07-10;2;0;100;55;2;False
2022-07-17;1;0;40;1;1;False
2022-07-24;1;0;42;0;1;False
2022-07-31;1;0;42;1;1;False
2022-08-07;1;0;41;0;1;False
2022-08-14;1;0;37;0;1;False
2022-08-21;1;0;39;0;1;False
2022-08-28;1;0;42;0;1;False
2022-09-04;1;0;40;0;1;False
2022-09-11;1;0;41;0;1;False
2022-09-18;1;0;39;0;1;False
2022-09-25;1;0;40;0;1;False
2022-10-02;1;0;43;0;1;False
2022-10-09;0;0;42;0;1;False
2022-10-16;1;0;40;0;1;False
2022-10-23;1;0;41;0;1;False
2022-10-30;1;0;40;0;1;False
2022-11-06;2;0;40;0;1;False
2022-11-13;2;0;43;0;1;False
2022-11-20;12;0;42;0;1;False
2022-11-27;7;0;44;0;1;False
2022-12-04;1;0;43;0;1;False
2022-12-11;1;0;42;0;1;False
2022-12-18;1;0;37;0;1;False
2022-12-25;1;0;40;0;1;False
2023-01-01;0;0;43;0;1;False
2023-01-08;13;0;51;0;1;False
2023-01-15;1;0;47;0;1;False
2023-01-22;2;0;52;0;1;False
2023-01-29;3;0;57;0;1;False
