date;holocaust;Alphabet;Steel industry;Crown estate;air travel;isPartial
2022-01-02;13;90;1;1;15;False
2022-01-09;19;92;0;3;17;False
2022-01-16;25;78;1;4;13;False
2022-01-23;100;83;1;3;14;False
2022-01-30;56;95;1;2;16;False
2022-02-06;43;75;1;4;16;False
2022-02-13;18;74;0;3;16;False
2022-02-20;19;79;1;2;16;False
2022-02-27;21;79;1;2;14;False
2022-03-06;17;77;1;2;15;False
2022-03-13;14;74;1;2;15;False
2022-03-20;14;72;1;2;15;False
2022-03-27;15;75;0;2;15;False
2022-04-03;14;74;1;2;14;False
2022-04-10;11;67;0;2;12;False
2022-04-17;12;68;1;2;13;False
2022-04-24;17;83;1;1;14;False
2022-05-01;14;69;1;2;14;False
2022-05-08;14;81;1;2;15;False
2022-05-15;14;79;1;3;15;False
2022-05-22;11;73;0;2;15;False
2022-05-29;9;65;0;3;15;False
2022-06-05;13;73;0;3;17;False
2022-06-12;12;76;1;2;15;False
2022-06-19;11;73;0;2;13;False
2022-06-26;11;68;0;2;14;False
2022-07-03;11;68;0;2;15;False
2022-07-10;12;70;0;1;16;False
2022-07-17;11;67;0;2;15;False
2022-07-24;9;78;0;2;15;False
2022-07-31;8;69;0;2;13;False
2022-08-07;8;69;0;2;13;False
2022-08-14;8;67;0;2;13;False
2022-08-21;8;68;0;2;11;False
2022-08-28;8;68;0;2;12;False
2022-09-04;9;74;0;6;13;False
2022-09-11;11;76;0;8;11;False
2022-09-18;12;76;1;6;11;False
2022-09-25;9;81;1;2;11;False
2022-10-02;10;82;0;2;11;False
2022-10-09;10;81;0;2;11;False
2022-10-16;9;73;1;2;9;False
2022-10-23;11;92;0;2;9;False
2022-10-30;11;79;1;3;9;False
2022-11-06;13;92;1;2;10;False
2022-11-13;13;85;1;2;8;False
2022-11-20;10;81;0;2;10;False
2022-11-27;14;82;1;2;10;False
2022-12-04;13;80;1;3;9;False
2022-12-11;12;80;1;1;9;False
2022-12-18;9;81;1;2;8;False
2022-12-25;14;71;0;1;11;False
2023-01-01;14;78;1;2;13;False
2023-01-08;26;87;1;2;12;False
2023-01-15;30;87;1;4;12;False
2023-01-22;97;91;1;3;11;False
2023-01-29;28;89;1;3;11;False
