date;grenfell tower;Uyghurs;Pádraig Harrington;Spezia;air travel;isPartial
2022-01-02;15;1;0;9;45;False
2022-01-09;22;2;0;8;50;False
2022-01-16;13;3;0;19;39;False
2022-01-23;11;1;1;6;43;False
2022-01-30;11;3;3;5;48;False
2022-02-06;10;4;0;16;49;False
2022-02-13;9;2;0;12;49;False
2022-02-20;10;2;0;15;50;False
2022-02-27;9;3;0;12;43;False
2022-03-06;10;2;0;19;46;False
2022-03-13;11;1;0;9;45;False
2022-03-20;11;1;0;6;44;False
2022-03-27;12;1;0;10;47;False
2022-04-03;11;0;3;6;43;False
2022-04-10;10;1;1;22;37;False
2022-04-17;11;0;0;8;42;False
2022-04-24;12;1;1;15;43;False
2022-05-01;11;2;0;11;44;False
2022-05-08;13;1;0;13;45;False
2022-05-15;12;1;0;8;47;False
2022-05-22;12;7;0;15;45;False
2022-05-29;13;2;0;8;45;False
2022-06-05;21;0;0;10;51;False
2022-06-12;100;1;0;10;44;False
2022-06-19;19;1;1;8;41;False
2022-06-26;10;1;1;9;44;False
2022-07-03;8;2;1;8;47;False
2022-07-10;9;1;4;10;48;False
2022-07-17;11;0;2;10;46;False
2022-07-24;9;2;1;10;46;False
2022-07-31;9;0;0;10;41;False
2022-08-07;7;1;0;12;40;False
2022-08-14;7;1;1;22;39;False
2022-08-21;5;1;1;16;34;False
2022-08-28;10;6;0;32;37;False
2022-09-04;9;1;0;35;40;False
2022-09-11;9;2;0;13;35;False
2022-09-18;9;2;0;8;33;False
2022-09-25;10;1;1;8;35;False
2022-10-02;7;1;0;14;33;False
2022-10-09;9;2;0;9;32;False
2022-10-16;7;2;0;11;29;False
2022-10-23;6;1;0;6;27;False
2022-10-30;7;0;0;25;27;False
2022-11-06;20;2;2;14;30;False
2022-11-13;12;1;0;7;25;False
2022-11-20;8;2;0;5;32;False
2022-11-27;8;2;0;5;31;False
2022-12-04;7;1;0;4;26;False
2022-12-11;13;1;0;4;27;False
2022-12-18;9;1;2;4;25;False
2022-12-25;7;0;0;6;33;False
2023-01-01;7;0;0;15;39;False
2023-01-08;35;0;1;8;36;False
2023-01-15;13;1;0;27;35;False
2023-01-22;11;1;2;30;32;False
2023-01-29;18;1;1;9;35;False
