date;West Ham United Women;Andrea Arnold;ukraine war diaries;Ethical holidays;air travel;isPartial
2023-01-01;6;0;0;0;76;False
2023-01-02;0;18;0;7;90;False
2023-01-03;0;0;0;0;59;False
2023-01-04;6;0;0;9;89;False
2023-01-05;7;0;0;0;73;False
2023-01-06;0;0;0;0;73;False
2023-01-07;0;0;0;0;53;False
2023-01-08;0;8;0;0;84;False
2023-01-09;0;0;0;0;50;False
2023-01-10;0;0;4;0;79;False
2023-01-11;0;0;0;0;90;False
2023-01-12;10;0;0;0;75;False
2023-01-13;0;5;5;9;60;False
2023-01-14;7;0;0;0;56;False
2023-01-15;0;0;0;9;66;False
2023-01-16;0;0;0;0;68;False
2023-01-17;0;0;0;0;56;False
2023-01-18;0;0;0;0;80;False
2023-01-19;6;0;0;0;73;False
2023-01-20;0;0;12;0;59;False
2023-01-21;8;0;0;9;63;False
2023-01-22;10;6;0;0;70;False
2023-01-23;5;11;0;0;72;False
2023-01-24;0;0;0;0;55;False
2023-01-25;0;0;0;0;75;False
2023-01-26;0;0;0;0;68;False
2023-01-27;0;5;0;6;47;False
2023-01-28;0;0;0;0;66;False
2023-01-29;7;7;0;0;60;False
2023-01-30;0;11;0;0;100;False
2023-01-31;17;0;0;0;84;False
