date;covid 19;Helicopter crashes;El Salvador;Comics and graphic novels;air travel;isPartial
2022-01-02;100;0;2;0;4;False
2022-01-09;81;0;2;0;5;False
2022-01-16;65;0;2;0;4;False
2022-01-23;55;0;3;0;4;False
2022-01-30;54;0;2;0;4;False
2022-02-06;47;0;1;0;4;False
2022-02-13;36;0;1;0;4;False
2022-02-20;38;0;2;0;4;False
2022-02-27;38;0;1;0;4;False
2022-03-06;36;0;1;0;4;False
2022-03-13;42;0;2;0;4;False
2022-03-20;48;0;2;0;4;False
2022-03-27;39;0;3;0;4;False
2022-04-03;43;0;2;0;4;False
2022-04-10;31;0;2;0;3;False
2022-04-17;25;0;1;0;4;False
2022-04-24;21;0;2;0;4;False
2022-05-01;19;0;3;0;4;False
2022-05-08;18;0;2;0;4;False
2022-05-15;17;0;2;0;4;False
2022-05-22;19;0;2;0;4;False
2022-05-29;14;0;2;0;4;False
2022-06-05;16;0;2;0;5;False
2022-06-12;18;0;3;0;4;False
2022-06-19;19;0;2;0;4;False
2022-06-26;22;0;2;0;4;False
2022-07-03;24;0;2;0;4;False
2022-07-10;23;0;2;0;4;False
2022-07-17;18;0;1;0;4;False
2022-07-24;16;0;1;0;4;False
2022-07-31;16;0;1;0;4;False
2022-08-07;12;0;1;0;4;False
2022-08-14;10;0;1;0;4;False
2022-08-21;10;0;1;0;3;False
2022-08-28;12;0;1;0;3;False
2022-09-04;10;0;1;0;4;False
2022-09-11;14;0;1;0;3;False
2022-09-18;14;0;1;0;3;False
2022-09-25;15;0;1;0;3;False
2022-10-02;17;0;1;0;3;False
2022-10-09;15;0;1;0;3;False
2022-10-16;15;0;1;0;3;False
2022-10-23;13;0;2;0;2;False
2022-10-30;11;1;1;0;2;False
2022-11-06;11;0;2;0;3;False
2022-11-13;10;0;1;0;2;False
2022-11-20;10;0;2;0;3;False
2022-11-27;11;0;1;0;3;False
2022-12-04;9;0;2;0;2;False
2022-12-11;12;0;1;0;2;False
2022-12-18;13;0;1;0;2;False
2022-12-25;12;0;1;0;3;False
2023-01-01;11;0;1;0;4;False
2023-01-08;9;0;1;0;3;False
2023-01-15;7;0;1;0;3;False
2023-01-22;7;0;1;0;3;False
2023-01-29;8;0;2;0;3;False
