date;Joni Mitchell;Breakfast;GCHQ;Camping holidays;air travel;isPartial
2022-01-02;1;82;1;1;3;False
2022-01-09;1;73;1;1;3;False
2022-01-16;2;75;1;1;3;False
2022-01-23;5;78;1;1;3;False
2022-01-30;4;81;1;1;3;False
2022-02-06;1;80;1;1;3;False
2022-02-13;1;86;1;1;3;False
2022-02-20;1;83;1;1;3;False
2022-02-27;1;81;1;1;3;False
2022-03-06;1;85;1;1;3;False
2022-03-13;1;83;1;1;3;False
2022-03-20;1;93;1;1;3;False
2022-03-27;1;70;2;1;3;False
2022-04-03;1;80;1;1;3;False
2022-04-10;1;92;1;1;3;False
2022-04-17;1;78;1;1;3;False
2022-04-24;1;68;1;1;3;False
2022-05-01;1;88;1;1;3;False
2022-05-08;1;84;1;1;3;False
2022-05-15;1;85;1;1;3;False
2022-05-22;1;81;1;1;3;False
2022-05-29;1;97;1;1;3;False
2022-06-05;1;84;1;1;3;False
2022-06-12;1;87;1;1;3;False
2022-06-19;1;90;1;1;3;False
2022-06-26;1;82;2;1;3;False
2022-07-03;1;89;3;1;3;False
2022-07-10;1;92;2;1;3;False
2022-07-17;1;82;2;2;3;False
2022-07-24;6;95;1;1;3;False
2022-07-31;2;96;2;1;3;False
2022-08-07;1;97;1;1;3;False
2022-08-14;1;86;1;1;3;False
2022-08-21;1;92;1;1;2;False
2022-08-28;1;100;2;1;3;False
2022-09-04;1;83;1;1;3;False
2022-09-11;1;88;1;1;2;False
2022-09-18;1;83;1;0;2;False
2022-09-25;1;81;1;0;2;False
2022-10-02;1;84;2;0;2;False
2022-10-09;1;79;2;0;2;False
2022-10-16;1;83;1;0;2;False
2022-10-23;1;87;1;0;2;False
2022-10-30;1;79;1;0;2;False
2022-11-06;2;76;1;0;2;False
2022-11-13;2;74;2;0;2;False
2022-11-20;1;70;1;0;2;False
2022-11-27;1;73;1;0;2;False
2022-12-04;2;67;1;0;2;False
2022-12-11;1;65;11;0;2;False
2022-12-18;2;80;2;0;2;False
2022-12-25;2;83;2;1;2;False
2023-01-01;1;82;1;1;3;False
2023-01-08;1;73;1;1;2;False
2023-01-15;1;77;1;1;2;False
2023-01-22;1;79;1;1;2;False
2023-01-29;1;83;1;1;2;False
