date;Statues;Sally Wainwright;Nasdaq;Virginia;air travel;isPartial
2022-01-02;0;1;31;75;15;False
2022-01-09;0;0;34;73;16;False
2022-01-16;0;1;38;48;12;False
2022-01-23;0;0;57;47;14;False
2022-01-30;0;0;43;47;15;False
2022-02-06;0;0;38;42;16;False
2022-02-13;0;0;34;62;16;False
2022-02-20;0;0;44;43;16;False
2022-02-27;0;0;33;40;14;False
2022-03-06;0;0;33;41;15;False
2022-03-13;0;0;36;41;15;False
2022-03-20;0;1;30;45;14;False
2022-03-27;0;1;30;38;15;False
2022-04-03;0;1;30;40;14;False
2022-04-10;0;2;24;44;12;False
2022-04-17;0;1;27;49;13;False
2022-04-24;0;1;35;51;14;False
2022-05-01;0;1;42;58;14;False
2022-05-08;0;1;50;43;14;False
2022-05-15;0;1;48;60;15;False
2022-05-22;0;1;40;72;14;False
2022-05-29;0;1;35;100;15;False
2022-06-05;0;1;33;45;16;False
2022-06-12;0;0;43;46;14;False
2022-06-19;0;0;33;54;13;False
2022-06-26;0;0;32;48;14;False
2022-07-03;0;0;26;56;15;False
2022-07-10;0;0;30;46;15;False
2022-07-17;0;0;31;43;15;False
2022-07-24;0;0;34;49;15;False
2022-07-31;0;1;34;43;13;False
2022-08-07;0;0;35;43;13;False
2022-08-14;0;0;29;42;12;False
2022-08-21;0;0;32;45;11;False
2022-08-28;0;0;32;45;12;False
2022-09-04;0;0;25;44;13;False
2022-09-11;0;0;34;58;11;False
2022-09-18;0;0;29;50;11;False
2022-09-25;0;0;34;43;11;False
2022-10-02;0;0;31;44;11;False
2022-10-09;0;0;30;41;10;False
2022-10-16;0;0;27;42;9;False
2022-10-23;0;0;32;42;9;False
2022-10-30;0;0;32;38;9;False
2022-11-06;0;0;34;45;10;False
2022-11-13;0;0;29;44;8;False
2022-11-20;0;0;22;43;10;False
2022-11-27;0;1;25;41;10;False
2022-12-04;0;1;21;39;8;False
2022-12-11;0;1;25;42;9;False
2022-12-18;0;1;27;46;8;False
2022-12-25;0;2;21;47;11;False
2023-01-01;0;7;25;49;12;False
2023-01-08;0;6;30;45;11;False
2023-01-15;0;7;26;40;11;False
2023-01-22;0;9;31;45;10;False
2023-01-29;0;14;35;42;11;False
