date;Civil rights movement;Publishing;University of Surrey;Red Bull Salzburg;air travel;isPartial
2022-01-02;5;86;14;1;44;False
2022-01-09;5;89;14;0;51;False
2022-01-16;6;89;14;2;38;False
2022-01-23;7;88;16;1;41;False
2022-01-30;3;94;16;0;48;False
2022-02-06;5;82;15;1;47;False
2022-02-13;3;86;14;8;47;False
2022-02-20;4;88;14;2;48;False
2022-02-27;5;90;15;3;42;False
2022-03-06;5;86;12;4;44;False
2022-03-13;3;92;15;1;44;False
2022-03-20;6;90;17;2;43;False
2022-03-27;6;100;14;1;46;False
2022-04-03;4;88;12;1;42;False
2022-04-10;2;81;12;1;36;False
2022-04-17;4;79;11;1;40;False
2022-04-24;9;90;14;4;41;False
2022-05-01;5;87;15;2;43;False
2022-05-08;6;91;15;1;44;False
2022-05-15;6;89;16;2;45;False
2022-05-22;4;80;13;1;43;False
2022-05-29;3;62;12;1;44;False
2022-06-05;5;75;15;1;49;False
2022-06-12;5;78;13;1;44;False
2022-06-19;4;74;15;1;40;False
2022-06-26;3;77;12;3;43;False
2022-07-03;3;75;14;2;45;False
2022-07-10;4;77;13;1;47;False
2022-07-17;2;73;12;3;44;False
2022-07-24;1;73;10;10;44;False
2022-07-31;2;72;10;3;39;False
2022-08-07;0;72;13;1;38;False
2022-08-14;1;68;24;1;38;False
2022-08-21;2;77;17;1;33;False
2022-08-28;2;72;14;2;36;False
2022-09-04;18;75;16;3;39;False
2022-09-11;4;82;21;8;34;False
2022-09-18;5;76;24;1;33;False
2022-09-25;4;75;24;1;33;False
2022-10-02;5;80;23;4;32;False
2022-10-09;6;78;26;3;31;False
2022-10-16;4;89;20;2;28;False
2022-10-23;5;80;16;7;26;False
2022-10-30;5;86;18;2;26;False
2022-11-06;5;91;17;1;29;False
2022-11-13;5;80;20;1;24;False
2022-11-20;5;86;15;1;31;False
2022-11-27;5;78;16;1;30;False
2022-12-04;5;77;13;1;25;False
2022-12-11;6;75;15;0;26;False
2022-12-18;2;70;9;0;24;False
2022-12-25;0;52;6;1;32;False
2023-01-01;5;80;15;1;38;False
2023-01-08;5;91;19;2;35;False
2023-01-15;5;93;16;0;34;False
2023-01-22;5;90;15;2;31;False
2023-01-29;5;81;15;2;34;False
