date;Copa del Rey;Italo Calvino;travel;north carolina;air travel;isPartial
2022-01-02;1;0;0;1;1;False
2022-01-09;0;0;0;1;1;False
2022-01-16;1;0;0;1;1;False
2022-01-23;0;0;0;1;1;False
2022-01-30;1;0;0;1;1;False
2022-02-06;0;0;0;1;1;False
2022-02-13;0;0;0;1;1;False
2022-02-20;0;0;0;1;1;False
2022-02-27;0;0;0;1;1;False
2022-03-06;0;0;0;1;1;False
2022-03-13;0;0;0;1;1;False
2022-03-20;0;0;0;1;1;False
2022-03-27;0;0;0;1;1;False
2022-04-03;0;0;98;1;1;False
2022-04-10;0;0;96;1;1;False
2022-04-17;1;0;89;1;1;False
2022-04-24;1;0;98;1;1;False
2022-05-01;0;0;100;1;1;False
2022-05-08;0;0;91;1;1;False
2022-05-15;0;0;96;1;1;False
2022-05-22;0;0;95;1;1;False
2022-05-29;0;0;96;1;1;False
2022-06-05;0;0;93;1;1;False
2022-06-12;0;0;87;1;1;False
2022-06-19;0;0;90;1;1;False
2022-06-26;0;0;90;1;1;False
2022-07-03;0;0;90;1;1;False
2022-07-10;0;0;88;1;1;False
2022-07-17;0;0;86;1;1;False
2022-07-24;0;0;91;1;1;False
2022-07-31;0;0;85;1;1;False
2022-08-07;0;0;80;1;1;False
2022-08-14;0;0;75;1;1;False
2022-08-21;0;0;81;1;1;False
2022-08-28;0;0;80;1;1;False
2022-09-04;0;0;78;1;1;False
2022-09-11;0;0;74;1;1;False
2022-09-18;0;0;73;1;1;False
2022-09-25;0;0;65;1;1;False
2022-10-02;0;0;63;1;1;False
2022-10-09;0;0;63;1;1;False
2022-10-16;0;0;60;1;1;False
2022-10-23;0;0;58;1;1;False
2022-10-30;0;0;56;1;1;False
2022-11-06;0;0;55;1;1;False
2022-11-13;0;0;55;1;1;False
2022-11-20;0;0;53;1;1;False
2022-11-27;0;0;52;1;1;False
2022-12-04;0;0;51;1;1;False
2022-12-11;0;0;54;1;1;False
2022-12-18;0;0;46;1;1;False
2022-12-25;0;0;58;1;1;False
2023-01-01;1;0;73;1;1;False
2023-01-08;0;0;74;1;1;False
2023-01-15;1;0;76;1;1;False
2023-01-22;1;0;66;1;1;False
2023-01-29;0;0;70;1;1;False
