date;Jonah Hill;Vintage fashion;Lorde;Sheryl Crow;air travel;isPartial
2023-01-01;7;1;4;2;12;False
2023-01-02;8;3;6;3;15;False
2023-01-03;5;2;4;1;10;False
2023-01-04;2;0;6;3;14;False
2023-01-05;6;1;3;2;12;False
2023-01-06;8;1;6;2;12;False
2023-01-07;12;0;6;1;9;False
2023-01-08;10;1;4;3;14;False
2023-01-09;7;3;0;2;8;False
2023-01-10;7;1;1;3;13;False
2023-01-11;4;1;4;3;15;False
2023-01-12;6;2;5;2;12;False
2023-01-13;9;2;4;0;10;False
2023-01-14;10;2;6;3;9;False
2023-01-15;11;1;3;0;11;False
2023-01-16;8;2;3;1;11;False
2023-01-17;4;2;5;0;9;False
2023-01-18;4;2;3;1;13;False
2023-01-19;4;0;3;2;12;False
2023-01-20;4;0;4;1;10;False
2023-01-21;12;0;4;2;10;False
2023-01-22;12;0;3;2;11;False
2023-01-23;11;1;4;2;12;False
2023-01-24;7;2;5;2;9;False
2023-01-25;5;0;5;0;12;False
2023-01-26;9;0;7;0;11;False
2023-01-27;57;0;3;3;8;False
2023-01-28;89;5;5;3;11;False
2023-01-29;100;5;5;1;10;False
2023-01-30;50;2;3;2;16;False
2023-01-31;36;1;5;2;14;False
