date;Coastlines;Athletics;racism in football;Michelle Mone;air travel;isPartial
2023-01-01;2;43;0;11;32;False
2023-01-02;3;58;0;11;37;False
2023-01-03;2;59;0;5;24;False
2023-01-04;7;63;0;12;37;False
2023-01-05;2;51;6;18;30;False
2023-01-06;4;55;0;16;30;False
2023-01-07;0;60;0;7;22;False
2023-01-08;0;65;0;5;35;False
2023-01-09;3;67;0;6;21;False
2023-01-10;0;62;3;7;33;False
2023-01-11;0;50;4;9;37;False
2023-01-12;2;68;0;7;31;False
2023-01-13;0;66;0;0;25;False
2023-01-14;0;53;3;14;23;False
2023-01-15;0;81;0;15;27;False
2023-01-16;0;68;0;6;28;False
2023-01-17;10;55;0;9;23;False
2023-01-18;5;56;0;4;33;False
2023-01-19;3;56;0;5;30;False
2023-01-20;0;55;0;12;24;False
2023-01-21;0;72;0;4;26;False
2023-01-22;0;89;0;3;29;False
2023-01-23;2;61;0;8;30;False
2023-01-24;0;69;0;4;23;False
2023-01-25;0;54;0;0;31;False
2023-01-26;6;65;0;4;28;False
2023-01-27;0;59;0;38;19;False
2023-01-28;0;100;0;36;27;False
2023-01-29;0;89;0;22;25;False
2023-01-30;2;75;0;8;41;False
2023-01-31;0;72;3;3;35;False
