date;global warming;US-Mexico border;Wolfsburg;Owen Farrell;air travel;isPartial
2022-01-02;28;0;16;5;70;False
2022-01-09;41;0;18;7;77;False
2022-01-16;40;0;10;10;60;False
2022-01-23;46;0;14;17;66;False
2022-01-30;49;0;12;52;75;False
2022-02-06;42;0;14;14;75;False
2022-02-13;33;0;13;36;75;False
2022-02-20;36;0;12;37;77;False
2022-02-27;39;0;12;8;67;False
2022-03-06;46;0;13;28;71;False
2022-03-13;41;0;12;28;70;False
2022-03-20;51;0;33;11;69;False
2022-03-27;44;0;36;8;73;False
2022-04-03;33;0;24;6;66;False
2022-04-10;23;0;32;4;58;False
2022-04-17;36;0;39;6;64;False
2022-04-24;45;1;16;7;66;False
2022-05-01;42;0;13;6;68;False
2022-05-08;38;0;37;3;70;False
2022-05-15;44;0;12;5;73;False
2022-05-22;43;0;9;4;69;False
2022-05-29;20;0;11;16;70;False
2022-06-05;41;0;5;8;78;False
2022-06-12;43;0;10;18;68;False
2022-06-19;41;0;11;8;64;False
2022-06-26;37;0;9;9;68;False
2022-07-03;29;0;10;9;72;False
2022-07-10;59;0;8;11;75;False
2022-07-17;100;0;14;5;71;False
2022-07-24;33;0;13;4;70;False
2022-07-31;24;0;18;4;63;False
2022-08-07;42;0;15;4;61;False
2022-08-14;25;0;53;2;60;False
2022-08-21;18;0;16;4;53;False
2022-08-28;23;0;14;1;58;False
2022-09-04;31;0;16;4;62;False
2022-09-11;32;0;12;3;54;False
2022-09-18;33;1;12;6;52;False
2022-09-25;32;0;13;4;53;False
2022-10-02;42;1;11;4;51;False
2022-10-09;37;0;11;5;49;False
2022-10-16;35;0;13;5;45;False
2022-10-23;36;0;13;7;42;False
2022-10-30;38;0;13;11;41;False
2022-11-06;54;0;33;24;46;False
2022-11-13;46;0;7;32;39;False
2022-11-20;34;0;8;22;49;False
2022-11-27;31;0;8;13;48;False
2022-12-04;38;0;7;6;40;False
2022-12-11;44;0;11;13;42;False
2022-12-18;21;1;7;10;39;False
2022-12-25;21;2;9;7;51;False
2023-01-01;33;0;10;15;60;False
2023-01-08;40;2;12;93;55;False
2023-01-15;42;0;13;14;54;False
2023-01-22;39;0;25;8;50;False
2023-01-29;38;0;19;48;54;False
