date;Domestic violence;New Hampshire;liverpool fc;Asean (Association of Southeast Asian Nations);air travel;isPartial
2022-01-02;5;3;64;0;6;False
2022-01-09;5;3;72;0;6;False
2022-01-16;6;2;66;0;5;False
2022-01-23;5;3;52;0;5;False
2022-01-30;7;3;49;0;6;False
2022-02-06;5;3;61;0;6;False
2022-02-13;5;3;74;0;6;False
2022-02-20;5;3;61;0;6;False
2022-02-27;6;3;89;0;5;False
2022-03-06;6;3;59;0;6;False
2022-03-13;6;4;56;0;6;False
2022-03-20;5;4;51;0;5;False
2022-03-27;5;3;40;0;6;False
2022-04-03;5;3;46;0;5;False
2022-04-10;5;3;86;0;5;False
2022-04-17;5;3;61;0;5;False
2022-04-24;6;3;85;0;5;False
2022-05-01;6;3;93;0;5;False
2022-05-08;6;3;82;0;6;False
2022-05-15;6;3;66;0;6;False
2022-05-22;5;3;100;0;5;False
2022-05-29;4;3;48;0;6;False
2022-06-05;5;3;39;0;6;False
2022-06-12;4;3;43;0;5;False
2022-06-19;4;3;30;0;5;False
2022-06-26;4;3;32;0;5;False
2022-07-03;4;3;35;0;6;False
2022-07-10;5;3;52;0;6;False
2022-07-17;4;3;44;0;6;False
2022-07-24;5;3;57;0;6;False
2022-07-31;4;3;55;0;5;False
2022-08-07;4;3;33;0;5;False
2022-08-14;4;3;48;0;5;False
2022-08-21;4;3;75;0;4;False
2022-08-28;4;3;76;0;5;False
2022-09-04;4;3;53;0;5;False
2022-09-11;4;3;46;0;4;False
2022-09-18;4;2;24;0;4;False
2022-09-25;4;3;38;0;4;False
2022-10-02;5;3;40;0;4;False
2022-10-09;5;3;54;0;4;False
2022-10-16;5;3;67;0;4;False
2022-10-23;4;2;49;0;3;False
2022-10-30;5;2;41;0;3;False
2022-11-06;5;3;78;0;4;False
2022-11-13;5;3;25;0;3;False
2022-11-20;5;2;20;0;4;False
2022-11-27;5;3;22;0;4;False
2022-12-04;6;2;22;0;3;False
2022-12-11;5;2;29;0;3;False
2022-12-18;4;2;36;0;3;False
2022-12-25;3;3;60;0;4;False
2023-01-01;5;3;58;0;5;False
2023-01-08;5;3;45;0;4;False
2023-01-15;5;3;60;0;4;False
2023-01-22;5;3;33;0;4;False
2023-01-29;5;3;55;0;4;False
