date;Akon;The super-rich;Sky News Australia;Iran's nuclear programme;air travel;isPartial
2022-01-02;22;0;11;0;90;False
2022-01-09;33;0;18;0;98;False
2022-01-16;32;0;12;0;77;False
2022-01-23;28;0;9;0;84;False
2022-01-30;27;0;8;0;95;False
2022-02-06;31;0;9;0;96;False
2022-02-13;25;0;9;0;96;False
2022-02-20;30;0;10;0;98;False
2022-02-27;21;0;16;0;86;False
2022-03-06;30;0;9;0;90;False
2022-03-13;27;0;7;0;90;False
2022-03-20;26;0;4;0;88;False
2022-03-27;24;0;6;0;93;False
2022-04-03;25;0;9;0;85;False
2022-04-10;27;0;6;0;74;False
2022-04-17;26;0;4;0;82;False
2022-04-24;29;0;6;0;84;False
2022-05-01;36;0;4;0;87;False
2022-05-08;32;0;6;0;89;False
2022-05-15;29;0;8;0;93;False
2022-05-22;26;0;6;0;88;False
2022-05-29;24;0;6;0;90;False
2022-06-05;26;0;3;0;100;False
2022-06-12;30;0;5;0;87;False
2022-06-19;23;0;4;0;81;False
2022-06-26;26;0;6;0;87;False
2022-07-03;28;0;6;0;92;False
2022-07-10;26;0;8;0;95;False
2022-07-17;29;0;4;0;91;False
2022-07-24;27;0;4;0;90;False
2022-07-31;21;0;9;0;81;False
2022-08-07;26;0;8;0;78;False
2022-08-14;23;0;3;0;77;False
2022-08-21;31;0;4;0;67;False
2022-08-28;24;0;5;0;74;False
2022-09-04;25;0;15;0;80;False
2022-09-11;38;0;10;0;69;False
2022-09-18;26;0;6;0;66;False
2022-09-25;24;0;5;0;68;False
2022-10-02;28;0;5;0;65;False
2022-10-09;27;0;7;0;63;False
2022-10-16;44;0;4;0;57;False
2022-10-23;35;0;6;0;53;False
2022-10-30;29;0;5;0;53;False
2022-11-06;32;0;6;0;59;False
2022-11-13;35;0;10;0;50;False
2022-11-20;59;0;4;0;62;False
2022-11-27;57;0;5;0;61;False
2022-12-04;41;0;4;0;52;False
2022-12-11;25;0;5;0;53;False
2022-12-18;35;0;7;0;50;False
2022-12-25;56;0;9;0;66;False
2023-01-01;32;0;7;0;77;False
2023-01-08;37;0;8;0;71;False
2023-01-15;28;0;4;0;69;False
2023-01-22;33;0;6;0;64;False
2023-01-29;27;0;6;0;69;False
