date;Olympic Games 2012;army;ian blackford;Census;air travel;isPartial
2022-01-02;0;40;0;34;2;False
2022-01-09;0;47;0;11;3;False
2022-01-16;0;45;1;7;2;False
2022-01-23;0;44;1;6;2;False
2022-01-30;0;47;6;5;3;False
2022-02-06;0;40;0;5;3;False
2022-02-13;0;41;0;5;3;False
2022-02-20;0;100;0;5;3;False
2022-02-27;0;75;0;11;2;False
2022-03-06;0;56;0;10;3;False
2022-03-13;0;45;0;12;2;False
2022-03-20;0;43;0;10;2;False
2022-03-27;0;40;0;7;3;False
2022-04-03;0;38;0;7;2;False
2022-04-10;0;40;0;5;2;False
2022-04-17;0;35;1;5;2;False
2022-04-24;0;48;0;7;2;False
2022-05-01;0;41;0;6;2;False
2022-05-08;0;37;0;4;2;False
2022-05-15;0;39;0;5;3;False
2022-05-22;0;35;0;5;2;False
2022-05-29;0;40;0;5;2;False
2022-06-05;0;42;0;4;3;False
2022-06-12;0;38;0;4;2;False
2022-06-19;0;41;2;3;2;False
2022-06-26;0;43;0;7;2;False
2022-07-03;0;39;1;3;3;False
2022-07-10;0;38;0;3;3;False
2022-07-17;0;37;0;3;3;False
2022-07-24;0;40;0;3;2;False
2022-07-31;0;37;0;3;2;False
2022-08-07;0;38;0;3;2;False
2022-08-14;0;34;0;3;2;False
2022-08-21;0;41;0;3;2;False
2022-08-28;0;37;0;3;2;False
2022-09-04;0;40;0;3;2;False
2022-09-11;0;47;0;3;2;False
2022-09-18;0;48;0;5;2;False
2022-09-25;0;44;0;3;2;False
2022-10-02;0;40;0;4;2;False
2022-10-09;0;40;0;3;2;False
2022-10-16;0;38;0;3;2;False
2022-10-23;0;39;0;3;1;False
2022-10-30;0;42;0;5;1;False
2022-11-06;0;44;0;4;2;False
2022-11-13;0;44;0;4;1;False
2022-11-20;0;36;0;3;2;False
2022-11-27;0;41;3;9;2;False
2022-12-04;0;39;1;4;1;False
2022-12-11;0;40;0;3;1;False
2022-12-18;0;39;0;3;1;False
2022-12-25;0;38;0;3;2;False
2023-01-01;0;37;0;8;2;False
2023-01-08;0;39;0;6;2;False
2023-01-15;0;40;0;6;2;False
2023-01-22;0;42;0;4;2;False
2023-01-29;0;43;0;4;2;False
