date;Climate crisis in the American west;Extreme weather;Digital music and audio;Royal Navy;air travel;isPartial
2022-01-02;0;4;0;69;29;False
2022-01-09;0;5;0;78;32;False
2022-01-16;0;4;0;64;25;False
2022-01-23;0;5;0;56;27;False
2022-01-30;0;5;0;51;31;False
2022-02-06;0;3;0;50;31;False
2022-02-13;0;9;0;46;31;False
2022-02-20;0;5;0;55;32;False
2022-02-27;0;5;0;47;28;False
2022-03-06;0;5;0;47;29;False
2022-03-13;0;5;0;45;29;False
2022-03-20;0;4;0;47;28;False
2022-03-27;0;5;0;42;30;False
2022-04-03;0;5;0;39;27;False
2022-04-10;0;2;0;44;24;False
2022-04-17;0;3;0;37;26;False
2022-04-24;0;4;0;40;27;False
2022-05-01;0;5;0;44;28;False
2022-05-08;0;4;0;42;29;False
2022-05-15;0;5;0;44;30;False
2022-05-22;0;5;0;43;28;False
2022-05-29;0;4;0;46;29;False
2022-06-05;0;4;0;45;32;False
2022-06-12;0;6;0;43;28;False
2022-06-19;0;4;0;43;26;False
2022-06-26;0;3;0;44;28;False
2022-07-03;0;4;0;42;30;False
2022-07-10;0;29;0;50;31;False
2022-07-17;0;27;0;42;29;False
2022-07-24;0;4;0;39;29;False
2022-07-31;0;4;0;40;26;False
2022-08-07;0;7;0;40;25;False
2022-08-14;0;4;0;38;25;False
2022-08-21;0;3;0;42;22;False
2022-08-28;0;4;0;45;24;False
2022-09-04;0;4;0;48;26;False
2022-09-11;0;4;0;58;22;False
2022-09-18;0;5;0;100;21;False
2022-09-25;0;5;0;43;22;False
2022-10-02;0;5;0;44;21;False
2022-10-09;0;4;0;40;20;False
2022-10-16;0;3;0;38;18;False
2022-10-23;0;5;0;45;17;False
2022-10-30;0;5;0;45;17;False
2022-11-06;0;6;0;48;19;False
2022-11-13;0;5;0;47;16;False
2022-11-20;0;5;0;38;20;False
2022-11-27;0;5;0;38;20;False
2022-12-04;0;7;0;37;17;False
2022-12-11;0;11;0;37;17;False
2022-12-18;0;8;0;35;16;False
2022-12-25;0;5;0;31;21;False
2023-01-01;0;5;0;39;25;False
2023-01-08;0;6;0;50;23;False
2023-01-15;0;7;0;41;22;False
2023-01-22;0;7;0;52;21;False
2023-01-29;0;5;0;51;22;False
