date;EY;Vinyl;terror;owen paterson;air travel;isPartial
2022-01-02;9;95;9;0;7;False
2022-01-09;11;89;9;1;7;False
2022-01-16;10;93;8;1;6;False
2022-01-23;11;96;9;1;6;False
2022-01-30;11;100;8;2;7;False
2022-02-06;11;89;9;0;7;False
2022-02-13;9;91;8;0;7;False
2022-02-20;10;95;9;0;7;False
2022-02-27;10;87;9;0;6;False
2022-03-06;11;89;10;0;7;False
2022-03-13;10;86;9;0;7;False
2022-03-20;11;84;9;0;7;False
2022-03-27;9;86;9;0;7;False
2022-04-03;10;82;9;0;6;False
2022-04-10;9;76;9;0;6;False
2022-04-17;9;84;8;0;6;False
2022-04-24;9;83;9;0;6;False
2022-05-01;9;90;17;0;7;False
2022-05-08;11;71;17;0;7;False
2022-05-15;10;81;14;0;7;False
2022-05-22;13;77;12;0;7;False
2022-05-29;9;84;11;0;7;False
2022-06-05;10;79;10;0;7;False
2022-06-12;10;80;9;1;7;False
2022-06-19;11;76;9;0;6;False
2022-06-26;10;80;9;0;7;False
2022-07-03;11;74;10;2;7;False
2022-07-10;10;72;8;0;7;False
2022-07-17;10;74;8;0;7;False
2022-07-24;10;84;8;0;7;False
2022-07-31;9;79;8;0;6;False
2022-08-07;8;76;8;0;6;False
2022-08-14;9;70;8;0;6;False
2022-08-21;9;84;8;0;5;False
2022-08-28;9;84;7;0;6;False
2022-09-04;12;79;8;0;6;False
2022-09-11;11;87;9;0;5;False
2022-09-18;10;77;8;0;5;False
2022-09-25;11;79;8;0;5;False
2022-10-02;12;75;7;0;5;False
2022-10-09;12;84;8;0;5;False
2022-10-16;11;81;9;0;4;False
2022-10-23;12;88;11;0;4;False
2022-10-30;12;84;10;0;4;False
2022-11-06;12;87;9;0;4;False
2022-11-13;12;94;9;0;4;False
2022-11-20;10;86;7;1;5;False
2022-11-27;10;92;10;0;5;False
2022-12-04;10;82;8;0;4;False
2022-12-11;9;85;7;0;4;False
2022-12-18;8;87;8;0;4;False
2022-12-25;7;95;7;0;5;False
2023-01-01;8;84;8;0;6;False
2023-01-08;10;89;9;0;5;False
2023-01-15;11;87;9;0;5;False
2023-01-22;10;93;8;0;5;False
2023-01-29;11;87;8;0;5;False
