date;Tofu;First world war;League One;James Dyson;air travel;isPartial
2022-01-02;100;16;42;2;24;False
2022-01-09;91;14;44;2;27;False
2022-01-16;83;15;39;3;21;False
2022-01-23;82;15;39;3;23;False
2022-01-30;80;16;49;3;26;False
2022-02-06;68;16;48;2;26;False
2022-02-13;63;15;45;2;26;False
2022-02-20;63;21;57;2;27;False
2022-02-27;56;19;44;2;23;False
2022-03-06;65;18;51;2;25;False
2022-03-13;59;13;55;3;24;False
2022-03-20;61;14;39;3;24;False
2022-03-27;53;12;39;2;25;False
2022-04-03;54;12;49;2;23;False
2022-04-10;54;11;61;2;20;False
2022-04-17;52;13;76;2;22;False
2022-04-24;54;12;96;2;23;False
2022-05-01;57;13;75;2;24;False
2022-05-08;56;14;72;2;24;False
2022-05-15;60;13;57;3;25;False
2022-05-22;55;12;42;2;24;False
2022-05-29;52;12;25;2;24;False
2022-06-05;65;13;19;3;27;False
2022-06-12;53;14;20;3;24;False
2022-06-19;52;11;22;3;22;False
2022-06-26;55;12;16;2;24;False
2022-07-03;53;9;16;2;25;False
2022-07-10;53;10;15;3;26;False
2022-07-17;46;9;19;2;25;False
2022-07-24;56;10;35;1;24;False
2022-07-31;53;10;35;2;22;False
2022-08-07;55;10;40;2;21;False
2022-08-14;54;9;50;2;21;False
2022-08-21;54;10;41;2;18;False
2022-08-28;62;10;56;2;20;False
2022-09-04;56;14;30;3;22;False
2022-09-11;57;12;46;3;19;False
2022-09-18;52;15;34;3;18;False
2022-09-25;57;15;37;2;19;False
2022-10-02;51;12;55;3;18;False
2022-10-09;52;13;43;3;17;False
2022-10-16;82;11;43;3;16;False
2022-10-23;63;15;51;2;14;False
2022-10-30;54;22;38;3;14;False
2022-11-06;65;30;37;3;16;False
2022-11-13;52;20;38;3;13;False
2022-11-20;43;14;19;2;17;False
2022-11-27;51;13;27;2;16;False
2022-12-04;44;13;25;2;14;False
2022-12-11;40;12;24;5;14;False
2022-12-18;41;10;23;2;14;False
2022-12-25;44;14;64;3;18;False
2023-01-01;73;11;61;1;21;False
2023-01-08;84;11;42;2;19;False
2023-01-15;78;15;44;8;19;False
2023-01-22;75;16;51;3;17;False
2023-01-29;72;14;42;2;19;False
