date;shakira;Australian art;Italy holidays;Monica Ali;air travel;isPartial
2022-01-02;6;0;9;0;9;False
2022-01-09;7;0;11;0;10;False
2022-01-16;7;1;9;0;8;False
2022-01-23;7;1;9;0;9;False
2022-01-30;8;0;10;2;10;False
2022-02-06;6;0;8;1;10;False
2022-02-13;8;0;9;0;10;False
2022-02-20;7;0;9;1;10;False
2022-02-27;7;0;7;0;9;False
2022-03-06;6;0;7;0;9;False
2022-03-13;7;0;9;0;9;False
2022-03-20;7;0;10;0;9;False
2022-03-27;7;0;9;0;10;False
2022-04-03;6;0;10;0;9;False
2022-04-10;6;0;10;0;8;False
2022-04-17;7;0;10;0;8;False
2022-04-24;6;0;10;0;9;False
2022-05-01;9;0;11;0;9;False
2022-05-08;8;0;11;0;9;False
2022-05-15;9;0;11;0;9;False
2022-05-22;10;0;11;0;9;False
2022-05-29;54;0;10;1;9;False
2022-06-05;50;0;11;0;10;False
2022-06-12;26;0;11;0;9;False
2022-06-19;21;0;11;0;8;False
2022-06-26;19;0;10;0;9;False
2022-07-03;12;0;9;0;9;False
2022-07-10;9;0;10;0;10;False
2022-07-17;10;0;9;0;9;False
2022-07-24;23;0;10;0;9;False
2022-07-31;100;0;10;0;8;False
2022-08-07;41;0;10;0;8;False
2022-08-14;18;0;8;0;8;False
2022-08-21;20;0;9;0;7;False
2022-08-28;14;0;8;0;8;False
2022-09-04;11;0;7;0;8;False
2022-09-11;10;0;7;0;7;False
2022-09-18;10;0;6;0;7;False
2022-09-25;28;0;6;0;7;False
2022-10-02;13;0;6;0;7;False
2022-10-09;11;0;5;0;6;False
2022-10-16;12;0;6;0;6;False
2022-10-23;10;0;6;0;5;False
2022-10-30;14;0;5;0;5;False
2022-11-06;13;1;6;0;6;False
2022-11-13;11;0;5;0;5;False
2022-11-20;19;0;4;0;6;False
2022-11-27;16;0;4;0;6;False
2022-12-04;12;0;4;0;5;False
2022-12-11;9;0;4;0;5;False
2022-12-18;13;0;5;0;5;False
2022-12-25;10;0;10;0;7;False
2023-01-01;10;0;15;0;8;False
2023-01-08;43;0;13;0;7;False
2023-01-15;75;0;12;0;7;False
2023-01-22;30;0;11;0;7;False
2023-01-29;23;0;10;0;7;False
