date;Horror books;National Union of Journalists;Passport Office;Reach (formerly Trinity Mirror);air travel;isPartial
2022-01-02;2;0;19;0;14;False
2022-01-09;1;1;25;0;16;False
2022-01-16;1;0;24;0;12;False
2022-01-23;1;0;32;0;13;False
2022-01-30;1;0;30;0;15;False
2022-02-06;1;0;32;0;15;False
2022-02-13;2;0;29;0;15;False
2022-02-20;1;0;32;0;15;False
2022-02-27;2;0;33;0;13;False
2022-03-06;2;0;42;0;14;False
2022-03-13;1;0;43;0;14;False
2022-03-20;1;0;47;0;13;False
2022-03-27;1;0;44;0;14;False
2022-04-03;2;0;49;0;13;False
2022-04-10;1;0;49;0;11;False
2022-04-17;1;0;53;0;12;False
2022-04-24;2;0;93;0;13;False
2022-05-01;2;0;100;0;13;False
2022-05-08;1;0;88;0;14;False
2022-05-15;1;0;75;0;14;False
2022-05-22;1;0;66;0;14;False
2022-05-29;1;0;53;0;14;False
2022-06-05;2;0;60;0;15;False
2022-06-12;1;0;61;0;14;False
2022-06-19;1;0;57;0;12;False
2022-06-26;2;0;56;0;13;False
2022-07-03;2;0;56;0;14;False
2022-07-10;2;0;59;0;15;False
2022-07-17;1;0;49;0;14;False
2022-07-24;1;0;47;0;14;False
2022-07-31;2;0;44;0;12;False
2022-08-07;2;0;38;0;12;False
2022-08-14;2;0;35;0;12;False
2022-08-21;2;0;31;0;10;False
2022-08-28;2;0;30;0;11;False
2022-09-04;1;0;30;0;12;False
2022-09-11;2;0;28;0;11;False
2022-09-18;2;0;23;0;10;False
2022-09-25;2;0;23;0;10;False
2022-10-02;2;0;22;0;10;False
2022-10-09;2;0;20;0;10;False
2022-10-16;2;0;18;0;9;False
2022-10-23;2;0;18;0;8;False
2022-10-30;2;0;18;0;8;False
2022-11-06;1;0;17;0;9;False
2022-11-13;2;0;17;0;8;False
2022-11-20;2;0;15;0;10;False
2022-11-27;2;0;17;0;9;False
2022-12-04;2;0;16;0;8;False
2022-12-11;1;0;16;0;8;False
2022-12-18;1;0;15;0;8;False
2022-12-25;2;0;15;0;10;False
2023-01-01;1;0;24;0;12;False
2023-01-08;1;0;31;0;11;False
2023-01-15;1;0;33;0;11;False
2023-01-22;2;0;31;0;10;False
2023-01-29;2;0;31;0;11;False
