date;Windows;Eritrea;ryan reynolds;Hawaii;air travel;isPartial
2022-01-02;91;1;5;7;2;False
2022-01-09;96;1;3;6;2;False
2022-01-16;97;1;3;6;2;False
2022-01-23;96;1;3;7;2;False
2022-01-30;96;1;2;5;2;False
2022-02-06;100;1;3;5;2;False
2022-02-13;93;1;3;5;2;False
2022-02-20;95;1;2;5;2;False
2022-02-27;89;5;3;5;2;False
2022-03-06;89;1;6;5;2;False
2022-03-13;87;1;7;5;2;False
2022-03-20;89;1;5;5;2;False
2022-03-27;81;1;5;5;2;False
2022-04-03;85;1;5;5;2;False
2022-04-10;81;1;5;5;2;False
2022-04-17;82;1;4;6;2;False
2022-04-24;78;1;3;5;2;False
2022-05-01;85;1;6;6;2;False
2022-05-08;80;1;4;6;2;False
2022-05-15;80;1;4;6;2;False
2022-05-22;76;1;6;5;2;False
2022-05-29;72;1;5;5;2;False
2022-06-05;83;1;3;6;2;False
2022-06-12;84;1;3;6;2;False
2022-06-19;78;1;3;6;2;False
2022-06-26;79;1;3;6;2;False
2022-07-03;77;1;2;6;2;False
2022-07-10;87;1;2;7;2;False
2022-07-17;91;1;3;7;2;False
2022-07-24;82;1;3;6;2;False
2022-07-31;76;1;3;6;2;False
2022-08-07;83;1;4;6;2;False
2022-08-14;77;1;3;6;2;False
2022-08-21;74;1;6;6;1;False
2022-08-28;77;1;6;5;2;False
2022-09-04;81;1;5;5;2;False
2022-09-11;87;1;6;5;1;False
2022-09-18;82;1;5;6;1;False
2022-09-25;83;1;5;5;1;False
2022-10-02;85;1;4;6;1;False
2022-10-09;81;1;4;5;1;False
2022-10-16;87;1;4;4;1;False
2022-10-23;81;1;4;5;1;False
2022-10-30;87;1;3;5;1;False
2022-11-06;83;1;5;5;1;False
2022-11-13;86;1;5;5;1;False
2022-11-20;84;1;5;4;1;False
2022-11-27;84;1;4;7;1;False
2022-12-04;82;1;5;5;1;False
2022-12-11;0;1;4;5;1;False
2022-12-18;79;1;5;6;1;False
2022-12-25;0;1;5;7;1;False
2023-01-01;81;1;4;7;2;False
2023-01-08;85;1;4;7;2;False
2023-01-15;0;1;2;6;1;False
2023-01-22;85;1;3;6;1;False
2023-01-29;85;1;19;6;1;False
