date;Kate Bush;Nevada;Bonnie and Clyde;Baftas;air travel;isPartial
2022-01-02;4;6;3;0;6;False
2022-01-09;4;6;3;1;7;False
2022-01-16;5;6;4;0;5;False
2022-01-23;4;6;3;0;6;False
2022-01-30;5;6;2;2;7;False
2022-02-06;4;6;2;2;7;False
2022-02-13;4;6;3;1;7;False
2022-02-20;4;5;4;1;7;False
2022-02-27;4;5;3;1;6;False
2022-03-06;4;5;2;4;6;False
2022-03-13;3;5;2;41;6;False
2022-03-20;4;6;2;2;6;False
2022-03-27;4;5;2;4;6;False
2022-04-03;5;5;3;2;6;False
2022-04-10;4;5;3;1;5;False
2022-04-17;4;5;3;1;6;False
2022-04-24;4;4;3;1;6;False
2022-05-01;5;5;3;2;6;False
2022-05-08;6;4;3;24;6;False
2022-05-15;4;5;3;1;6;False
2022-05-22;7;5;3;1;6;False
2022-05-29;57;5;3;0;6;False
2022-06-05;72;5;3;0;7;False
2022-06-12;96;5;2;0;6;False
2022-06-19;100;5;3;0;6;False
2022-06-26;39;5;2;0;6;False
2022-07-03;29;5;2;0;6;False
2022-07-10;23;5;2;0;7;False
2022-07-17;16;6;2;0;6;False
2022-07-24;57;5;2;0;6;False
2022-07-31;26;5;2;0;6;False
2022-08-07;13;5;2;0;5;False
2022-08-14;9;5;2;0;5;False
2022-08-21;8;5;2;0;5;False
2022-08-28;8;5;2;0;5;False
2022-09-04;7;5;2;0;6;False
2022-09-11;7;5;2;0;5;False
2022-09-18;5;5;2;0;5;False
2022-09-25;6;5;2;0;5;False
2022-10-02;6;5;2;0;5;False
2022-10-09;6;4;2;1;4;False
2022-10-16;5;4;2;0;4;False
2022-10-23;6;4;3;0;4;False
2022-10-30;5;4;2;0;4;False
2022-11-06;5;21;2;0;4;False
2022-11-13;5;7;2;0;3;False
2022-11-20;4;5;1;1;4;False
2022-11-27;4;5;2;0;4;False
2022-12-04;5;4;1;0;4;False
2022-12-11;5;5;2;0;4;False
2022-12-18;6;5;2;0;3;False
2022-12-25;7;5;2;0;5;False
2023-01-01;6;8;3;1;5;False
2023-01-08;6;6;2;1;5;False
2023-01-15;5;6;2;3;5;False
2023-01-22;4;6;2;2;4;False
2023-01-29;5;6;2;2;5;False
