date;novak djokovic;Allergies;rail;New York Jets;air travel;isPartial
2023-01-01;1;2;59;1;2;False
2023-01-02;1;3;80;1;2;False
2023-01-03;1;3;100;0;1;False
2023-01-04;1;3;72;0;2;False
2023-01-05;2;2;70;1;2;False
2023-01-06;2;2;63;0;2;False
2023-01-07;3;2;51;0;1;False
2023-01-08;5;2;62;0;2;False
2023-01-09;1;2;71;0;1;False
2023-01-10;0;2;78;0;2;False
2023-01-11;1;2;67;0;2;False
2023-01-12;2;3;67;0;2;False
2023-01-13;2;3;57;0;1;False
2023-01-14;1;3;55;0;1;False
2023-01-15;1;2;56;0;2;False
2023-01-16;2;2;66;0;2;False
2023-01-17;7;2;74;0;1;False
2023-01-18;2;2;72;0;2;False
2023-01-19;6;2;65;0;2;False
2023-01-20;3;2;62;0;1;False
2023-01-21;10;3;57;0;2;False
2023-01-22;2;2;55;0;2;False
2023-01-23;6;3;66;0;2;False
2023-01-24;2;3;63;0;1;False
2023-01-25;8;3;62;0;2;False
2023-01-26;5;3;62;0;2;False
2023-01-27;11;3;66;0;1;False
2023-01-28;3;3;55;0;2;False
2023-01-29;25;3;55;0;1;False
2023-01-30;4;3;73;0;2;False
2023-01-31;1;3;77;0;2;False
