date;Maggie O'Farrell;Pubs;Channel 4;germany;air travel;isPartial
2023-01-01;1;88;32;43;4;False
2023-01-02;0;79;25;46;4;False
2023-01-03;0;60;24;48;3;False
2023-01-04;0;58;35;49;4;False
2023-01-05;0;58;36;47;3;False
2023-01-06;0;68;30;47;3;False
2023-01-07;0;77;31;40;2;False
2023-01-08;0;76;30;45;4;False
2023-01-09;0;61;26;51;2;False
2023-01-10;0;58;28;50;4;False
2023-01-11;0;58;25;52;4;False
2023-01-12;0;64;26;53;3;False
2023-01-13;0;69;25;48;3;False
2023-01-14;0;88;27;45;3;False
2023-01-15;0;81;31;47;3;False
2023-01-16;1;58;25;52;3;False
2023-01-17;0;55;27;52;3;False
2023-01-18;1;60;27;53;4;False
2023-01-19;0;66;23;53;3;False
2023-01-20;0;75;24;54;3;False
2023-01-21;0;100;41;44;3;False
2023-01-22;1;82;31;53;3;False
2023-01-23;0;62;29;62;3;False
2023-01-24;0;69;26;62;3;False
2023-01-25;1;65;23;65;4;False
2023-01-26;0;65;22;58;3;False
2023-01-27;0;77;23;51;2;False
2023-01-28;0;93;28;44;3;False
2023-01-29;0;80;26;49;3;False
2023-01-30;0;58;25;52;5;False
2023-01-31;0;66;23;52;4;False
