date;Dominic Cummings;Baz Luhrmann;Alisher Usmanov;elon musk;air travel;isPartial
2022-01-02;1;0;0;12;3;False
2022-01-09;5;0;0;9;4;False
2022-01-16;7;0;0;11;3;False
2022-01-23;4;0;0;11;3;False
2022-01-30;5;0;0;10;4;False
2022-02-06;3;0;0;9;4;False
2022-02-13;1;1;0;11;4;False
2022-02-20;1;1;1;9;4;False
2022-02-27;1;1;3;15;3;False
2022-03-06;1;0;1;31;3;False
2022-03-13;1;0;0;16;3;False
2022-03-20;1;0;0;10;3;False
2022-03-27;1;0;0;8;3;False
2022-04-03;0;0;0;19;3;False
2022-04-10;1;0;0;34;3;False
2022-04-17;1;0;0;29;3;False
2022-04-24;0;0;0;100;3;False
2022-05-01;0;1;0;36;3;False
2022-05-08;1;1;0;29;3;False
2022-05-15;1;1;0;33;3;False
2022-05-22;2;1;0;18;3;False
2022-05-29;1;1;0;22;3;False
2022-06-05;1;1;0;13;4;False
2022-06-12;1;1;0;12;3;False
2022-06-19;1;3;0;20;3;False
2022-06-26;1;2;0;11;3;False
2022-07-03;5;2;0;16;3;False
2022-07-10;3;1;0;17;4;False
2022-07-17;2;1;0;14;3;False
2022-07-24;1;1;0;13;3;False
2022-07-31;1;1;0;10;3;False
2022-08-07;0;1;0;11;3;False
2022-08-14;0;1;0;18;3;False
2022-08-21;1;1;0;10;2;False
2022-08-28;1;1;0;9;3;False
2022-09-04;1;1;0;10;3;False
2022-09-11;0;1;0;8;3;False
2022-09-18;0;1;0;9;2;False
2022-09-25;3;1;0;8;3;False
2022-10-02;3;1;0;18;2;False
2022-10-09;2;0;0;20;2;False
2022-10-16;3;1;0;17;2;False
2022-10-23;2;1;0;47;2;False
2022-10-30;2;0;0;43;2;False
2022-11-06;1;0;0;32;2;False
2022-11-13;1;0;0;29;2;False
2022-11-20;0;0;0;18;2;False
2022-11-27;0;2;0;17;2;False
2022-12-04;0;1;0;15;2;False
2022-12-11;0;0;0;20;2;False
2022-12-18;0;0;0;29;2;False
2022-12-25;0;1;0;16;2;False
2023-01-01;0;1;0;14;3;False
2023-01-08;0;1;0;13;3;False
2023-01-15;0;1;0;10;3;False
2023-01-22;0;1;0;9;2;False
2023-01-29;0;1;0;10;3;False
