date;Islamophobia;Equal marriage;sir david amess;Scissor Sisters;air travel;isPartial
2022-01-02;3;0;1;13;90;False
2022-01-09;7;0;3;14;98;False
2022-01-16;4;1;0;19;77;False
2022-01-23;21;1;2;9;84;False
2022-01-30;8;2;7;17;95;False
2022-02-06;6;0;1;14;96;False
2022-02-13;4;0;1;10;96;False
2022-02-20;5;0;1;9;98;False
2022-02-27;4;1;8;11;86;False
2022-03-06;7;1;2;13;90;False
2022-03-13;13;0;0;14;90;False
2022-03-20;8;1;10;12;88;False
2022-03-27;8;1;1;11;93;False
2022-04-03;5;1;1;11;85;False
2022-04-10;5;1;20;16;74;False
2022-04-17;5;1;0;10;82;False
2022-04-24;10;1;1;10;84;False
2022-05-01;8;1;2;10;87;False
2022-05-08;6;1;0;24;89;False
2022-05-15;5;0;1;12;93;False
2022-05-22;5;0;1;17;88;False
2022-05-29;4;0;2;14;90;False
2022-06-05;6;2;0;29;100;False
2022-06-12;7;0;0;16;87;False
2022-06-19;5;2;1;20;81;False
2022-06-26;4;0;0;14;87;False
2022-07-03;8;1;1;13;92;False
2022-07-10;4;0;0;14;95;False
2022-07-17;3;0;0;22;91;False
2022-07-24;2;0;1;16;90;False
2022-07-31;4;1;0;12;81;False
2022-08-07;3;1;0;16;78;False
2022-08-14;4;0;1;11;77;False
2022-08-21;3;0;0;14;67;False
2022-08-28;2;0;0;15;74;False
2022-09-04;4;1;0;13;80;False
2022-09-11;1;0;0;17;69;False
2022-09-18;5;1;1;15;66;False
2022-09-25;5;0;0;11;68;False
2022-10-02;6;2;2;14;65;False
2022-10-09;7;0;8;14;63;False
2022-10-16;6;0;1;15;57;False
2022-10-23;4;0;1;11;53;False
2022-10-30;15;1;1;9;53;False
2022-11-06;12;1;1;11;59;False
2022-11-13;15;1;1;10;50;False
2022-11-20;6;1;1;9;62;False
2022-11-27;5;0;0;9;61;False
2022-12-04;4;0;1;9;52;False
2022-12-11;5;2;2;8;53;False
2022-12-18;1;2;0;13;50;False
2022-12-25;4;0;2;12;66;False
2023-01-01;4;0;1;10;77;False
2023-01-08;4;0;1;10;71;False
2023-01-15;4;0;0;11;69;False
2023-01-22;5;4;0;10;64;False
2023-01-29;5;1;1;9;69;False
