date;chrissy teigen;NSW election 2023;Gas;George Osborne;air travel;isPartial
2022-01-02;0;0;51;0;1;False
2022-01-09;0;0;59;0;1;False
2022-01-16;0;0;53;0;1;False
2022-01-23;0;0;55;0;1;False
2022-01-30;0;0;65;0;1;False
2022-02-06;0;0;52;0;1;False
2022-02-13;0;0;51;0;1;False
2022-02-20;0;0;62;0;1;False
2022-02-27;0;0;64;0;1;False
2022-03-06;0;0;66;0;1;False
2022-03-13;0;0;54;0;1;False
2022-03-20;0;0;59;0;1;False
2022-03-27;0;0;100;0;1;False
2022-04-03;0;0;61;0;1;False
2022-04-10;1;0;52;0;1;False
2022-04-17;0;0;47;0;1;False
2022-04-24;0;0;55;0;1;False
2022-05-01;0;0;54;0;1;False
2022-05-08;0;0;52;0;1;False
2022-05-15;0;0;53;0;1;False
2022-05-22;0;0;57;0;1;False
2022-05-29;0;0;55;0;1;False
2022-06-05;0;0;49;0;1;False
2022-06-12;0;0;52;0;1;False
2022-06-19;0;0;49;0;1;False
2022-06-26;0;0;49;0;1;False
2022-07-03;0;0;48;0;1;False
2022-07-10;0;0;52;0;1;False
2022-07-17;0;0;47;0;1;False
2022-07-24;0;0;58;0;1;False
2022-07-31;1;0;56;0;1;False
2022-08-07;0;0;61;0;1;False
2022-08-14;0;0;49;0;1;False
2022-08-21;0;0;66;0;1;False
2022-08-28;0;0;66;0;1;False
2022-09-04;0;0;63;0;1;False
2022-09-11;1;0;57;0;1;False
2022-09-18;1;0;56;0;1;False
2022-09-25;0;0;85;0;1;False
2022-10-02;0;0;70;0;1;False
2022-10-09;0;0;63;0;1;False
2022-10-16;0;0;57;0;1;False
2022-10-23;0;0;59;0;1;False
2022-10-30;0;0;63;0;1;False
2022-11-06;0;0;60;0;1;False
2022-11-13;0;0;59;0;1;False
2022-11-20;0;0;56;0;1;False
2022-11-27;0;0;61;0;1;False
2022-12-04;0;0;68;0;1;False
2022-12-11;0;0;78;0;1;False
2022-12-18;0;0;62;0;1;False
2022-12-25;0;0;50;0;1;False
2023-01-01;0;0;55;0;1;False
2023-01-08;0;0;56;0;1;False
2023-01-15;0;0;59;0;1;False
2023-01-22;0;0;64;0;1;False
2023-01-29;0;0;62;0;1;False
