date;Sam Smith;Ingmar Bergman;Breastfeeding;Borrowing & debt;air travel;isPartial
2022-01-02;6;0;39;0;9;False
2022-01-09;5;0;39;0;10;False
2022-01-16;5;0;34;0;8;False
2022-01-23;5;0;36;0;8;False
2022-01-30;6;0;37;0;10;False
2022-02-06;5;0;34;0;10;False
2022-02-13;6;0;32;0;10;False
2022-02-20;5;0;34;0;10;False
2022-02-27;6;0;32;0;9;False
2022-03-06;5;0;34;0;9;False
2022-03-13;4;0;33;0;9;False
2022-03-20;5;0;33;0;9;False
2022-03-27;5;0;31;0;9;False
2022-04-03;5;0;32;0;9;False
2022-04-10;5;0;32;0;7;False
2022-04-17;8;0;30;0;8;False
2022-04-24;6;0;30;0;8;False
2022-05-01;6;0;33;0;9;False
2022-05-08;7;0;33;0;9;False
2022-05-15;7;0;36;0;9;False
2022-05-22;5;0;33;0;9;False
2022-05-29;7;0;32;0;9;False
2022-06-05;10;0;34;0;10;False
2022-06-12;6;0;36;0;9;False
2022-06-19;6;0;32;0;8;False
2022-06-26;11;0;35;0;9;False
2022-07-03;6;0;33;0;9;False
2022-07-10;5;0;34;0;10;False
2022-07-17;6;0;34;0;9;False
2022-07-24;5;0;34;0;9;False
2022-07-31;6;0;37;0;8;False
2022-08-07;5;0;35;0;8;False
2022-08-14;5;0;30;0;8;False
2022-08-21;5;0;33;0;7;False
2022-08-28;7;0;33;0;7;False
2022-09-04;14;0;32;0;8;False
2022-09-11;17;0;34;0;7;False
2022-09-18;22;0;35;0;7;False
2022-09-25;18;0;32;0;7;False
2022-10-02;20;0;33;0;7;False
2022-10-09;21;0;34;0;6;False
2022-10-16;25;2;32;0;6;False
2022-10-23;28;2;33;0;5;False
2022-10-30;17;0;31;0;5;False
2022-11-06;22;0;33;0;6;False
2022-11-13;14;0;32;0;5;False
2022-11-20;11;0;30;0;6;False
2022-11-27;10;0;31;0;6;False
2022-12-04;14;0;30;0;5;False
2022-12-11;22;0;32;0;5;False
2022-12-18;14;0;34;0;5;False
2022-12-25;22;0;34;0;7;False
2023-01-01;16;0;33;0;8;False
2023-01-08;14;0;31;0;7;False
2023-01-15;15;0;33;0;7;False
2023-01-22;36;0;34;0;6;False
2023-01-29;100;1;33;0;7;False
