date;Anne Hathaway;metoo;Republicans;Newspapers & magazines;air travel;isPartial
2022-01-02;44;4;10;0;68;False
2022-01-09;50;4;7;0;75;False
2022-01-16;49;6;9;0;58;False
2022-01-23;44;2;5;0;64;False
2022-01-30;40;5;5;0;73;False
2022-02-06;35;4;6;0;73;False
2022-02-13;41;4;6;0;73;False
2022-02-20;48;3;12;0;75;False
2022-02-27;44;6;10;0;66;False
2022-03-06;52;4;7;0;69;False
2022-03-13;72;4;9;0;68;False
2022-03-20;89;5;7;0;67;False
2022-03-27;64;3;8;0;71;False
2022-04-03;50;3;11;0;65;False
2022-04-10;64;3;9;0;56;False
2022-04-17;55;4;10;0;63;False
2022-04-24;49;5;7;0;64;False
2022-05-01;48;6;12;0;66;False
2022-05-08;41;4;8;0;68;False
2022-05-15;97;6;11;0;71;False
2022-05-22;100;5;13;0;67;False
2022-05-29;63;9;13;0;68;False
2022-06-05;51;5;11;0;76;False
2022-06-12;59;5;11;0;67;False
2022-06-19;61;3;16;0;62;False
2022-06-26;53;3;11;0;67;False
2022-07-03;50;1;9;0;70;False
2022-07-10;51;0;7;0;73;False
2022-07-17;47;3;13;0;69;False
2022-07-24;48;3;11;0;69;False
2022-07-31;53;3;7;0;62;False
2022-08-07;45;3;9;0;60;False
2022-08-14;40;2;9;0;59;False
2022-08-21;48;4;7;0;51;False
2022-08-28;46;3;13;0;56;False
2022-09-04;46;4;12;0;61;False
2022-09-11;56;2;20;0;53;False
2022-09-18;40;3;12;0;50;False
2022-09-25;36;2;6;0;52;False
2022-10-02;48;5;8;0;50;False
2022-10-09;47;4;10;0;48;False
2022-10-16;55;4;10;0;44;False
2022-10-23;57;2;9;0;41;False
2022-10-30;42;3;15;0;40;False
2022-11-06;43;6;86;0;45;False
2022-11-13;68;4;33;0;38;False
2022-11-20;38;4;9;0;48;False
2022-11-27;43;4;10;0;46;False
2022-12-04;51;5;11;0;39;False
2022-12-11;41;5;6;0;41;False
2022-12-18;34;3;11;0;38;False
2022-12-25;59;4;5;0;50;False
2023-01-01;45;2;21;0;59;False
2023-01-08;44;2;7;0;54;False
2023-01-15;38;1;4;0;53;False
2023-01-22;69;4;6;0;49;False
2023-01-29;61;2;7;0;52;False
