date;Insects;Dolphins;Aubrey Plaza;Les Miserables;air travel;isPartial
2022-01-02;41;52;8;51;40;False
2022-01-09;41;64;10;44;44;False
2022-01-16;36;44;9;44;34;False
2022-01-23;40;51;9;46;38;False
2022-01-30;42;54;6;38;43;False
2022-02-06;45;51;6;37;43;False
2022-02-13;38;45;7;35;43;False
2022-02-20;42;47;7;43;44;False
2022-02-27;43;43;6;44;38;False
2022-03-06;47;39;6;39;40;False
2022-03-13;53;50;7;56;40;False
2022-03-20;58;59;6;41;39;False
2022-03-27;49;50;6;41;41;False
2022-04-03;45;44;7;50;38;False
2022-04-10;49;48;7;39;33;False
2022-04-17;53;48;4;40;37;False
2022-04-24;56;55;6;31;38;False
2022-05-01;63;55;4;40;39;False
2022-05-08;65;54;5;33;40;False
2022-05-15;67;54;6;52;41;False
2022-05-22;62;43;6;38;39;False
2022-05-29;59;46;7;39;40;False
2022-06-05;68;46;6;32;45;False
2022-06-12;66;47;5;35;39;False
2022-06-19;68;47;6;39;36;False
2022-06-26;63;44;5;36;39;False
2022-07-03;65;51;5;43;41;False
2022-07-10;92;58;6;38;42;False
2022-07-17;75;54;6;39;40;False
2022-07-24;58;58;3;41;40;False
2022-07-31;64;55;5;38;36;False
2022-08-07;67;58;10;39;35;False
2022-08-14;59;50;13;38;34;False
2022-08-21;72;54;10;54;30;False
2022-08-28;67;54;5;41;33;False
2022-09-04;54;47;4;38;36;False
2022-09-11;55;70;8;40;31;False
2022-09-18;50;74;7;33;29;False
2022-09-25;50;100;7;34;30;False
2022-10-02;47;50;5;32;29;False
2022-10-09;48;59;14;34;28;False
2022-10-16;47;54;6;51;25;False
2022-10-23;48;53;10;42;24;False
2022-10-30;39;53;18;37;24;False
2022-11-06;41;55;16;38;26;False
2022-11-13;39;61;13;39;22;False
2022-11-20;36;37;17;32;28;False
2022-11-27;33;50;22;36;27;False
2022-12-04;36;47;32;38;23;False
2022-12-11;38;45;34;34;24;False
2022-12-18;34;50;31;50;22;False
2022-12-25;32;60;24;43;29;False
2023-01-01;35;61;20;38;34;False
2023-01-08;33;62;21;37;32;False
2023-01-15;38;86;24;31;31;False
2023-01-22;41;45;36;59;28;False
2023-01-29;47;49;22;34;31;False
