date;Soil;Meghan, the Duchess of Sussex;Liverpool;Rights issues;air travel;isPartial
2022-01-02;1;0;46;0;0;False
2022-01-09;1;0;46;0;0;False
2022-01-16;1;0;45;0;0;False
2022-01-23;1;0;42;0;0;False
2022-01-30;1;0;38;0;0;False
2022-02-06;2;0;45;0;0;False
2022-02-13;1;0;46;0;0;False
2022-02-20;1;0;47;0;0;False
2022-02-27;2;0;61;0;0;False
2022-03-06;2;0;44;0;0;False
2022-03-13;3;0;46;0;0;False
2022-03-20;3;0;44;0;0;False
2022-03-27;2;0;36;0;0;False
2022-04-03;2;0;40;0;0;False
2022-04-10;3;0;80;0;0;False
2022-04-17;3;0;54;0;0;False
2022-04-24;3;0;63;0;0;False
2022-05-01;3;0;68;0;0;False
2022-05-08;3;0;68;0;0;False
2022-05-15;2;0;56;0;0;False
2022-05-22;2;0;100;0;0;False
2022-05-29;2;0;46;0;0;False
2022-06-05;2;0;39;0;0;False
2022-06-12;2;0;39;0;0;False
2022-06-19;2;0;33;0;0;False
2022-06-26;2;0;33;0;0;False
2022-07-03;2;0;34;0;0;False
2022-07-10;2;0;55;0;0;False
2022-07-17;2;0;42;0;0;False
2022-07-24;2;0;52;0;0;False
2022-07-31;2;0;50;0;0;False
2022-08-07;2;0;38;0;0;False
2022-08-14;1;0;49;0;0;False
2022-08-21;1;0;76;0;0;False
2022-08-28;2;0;58;0;0;False
2022-09-04;1;0;46;0;0;False
2022-09-11;1;0;44;0;0;False
2022-09-18;2;0;35;0;0;False
2022-09-25;1;0;39;0;0;False
2022-10-02;1;0;46;0;0;False
2022-10-09;1;0;54;0;0;False
2022-10-16;1;0;62;0;0;False
2022-10-23;1;0;49;0;0;False
2022-10-30;1;0;40;0;0;False
2022-11-06;1;0;57;0;0;False
2022-11-13;1;0;33;0;0;False
2022-11-20;1;0;28;0;0;False
2022-11-27;1;0;29;0;0;False
2022-12-04;1;0;29;0;0;False
2022-12-11;1;0;37;0;0;False
2022-12-18;1;0;38;0;0;False
2022-12-25;1;0;52;0;0;False
2023-01-01;1;0;55;0;0;False
2023-01-08;1;0;39;0;0;False
2023-01-15;1;0;50;0;0;False
2023-01-22;1;0;35;0;0;False
2023-01-29;1;0;46;0;0;False
