date;Robert Mugabe;whatsapp;Hygiene;Primary schools;air travel;isPartial
2022-01-02;0;43;4;4;2;False
2022-01-09;0;46;5;4;2;False
2022-01-16;0;42;5;3;1;False
2022-01-23;0;45;5;3;2;False
2022-01-30;0;49;5;3;2;False
2022-02-06;0;46;5;3;2;False
2022-02-13;0;43;5;3;2;False
2022-02-20;0;43;5;3;2;False
2022-02-27;0;46;5;3;2;False
2022-03-06;0;46;5;3;2;False
2022-03-13;0;45;4;3;2;False
2022-03-20;0;47;5;3;2;False
2022-03-27;0;49;4;3;2;False
2022-04-03;0;44;5;2;2;False
2022-04-10;0;42;4;2;1;False
2022-04-17;0;44;4;3;1;False
2022-04-24;0;59;4;3;2;False
2022-05-01;0;48;5;3;2;False
2022-05-08;0;48;5;3;2;False
2022-05-15;0;49;4;3;2;False
2022-05-22;0;47;4;3;2;False
2022-05-29;0;44;4;2;2;False
2022-06-05;0;52;4;3;2;False
2022-06-12;0;49;4;3;2;False
2022-06-19;0;48;4;3;1;False
2022-06-26;0;51;4;3;2;False
2022-07-03;0;47;4;3;2;False
2022-07-10;0;50;4;3;2;False
2022-07-17;0;47;4;3;2;False
2022-07-24;0;46;4;2;2;False
2022-07-31;0;47;4;2;1;False
2022-08-07;0;50;4;2;1;False
2022-08-14;0;47;4;2;1;False
2022-08-21;0;46;4;2;1;False
2022-08-28;0;49;4;3;1;False
2022-09-04;0;49;5;4;1;False
2022-09-11;0;48;5;4;1;False
2022-09-18;0;48;5;3;1;False
2022-09-25;0;52;4;3;1;False
2022-10-02;0;51;5;3;1;False
2022-10-09;0;51;5;3;1;False
2022-10-16;0;51;4;3;1;False
2022-10-23;0;100;4;2;1;False
2022-10-30;0;55;4;3;1;False
2022-11-06;0;52;5;3;1;False
2022-11-13;0;51;4;3;1;False
2022-11-20;0;47;4;2;1;False
2022-11-27;0;52;4;3;1;False
2022-12-04;0;49;4;2;1;False
2022-12-11;0;57;4;3;1;False
2022-12-18;0;48;4;2;1;False
2022-12-25;0;50;3;1;1;False
2023-01-01;0;47;4;3;1;False
2023-01-08;0;50;5;3;1;False
2023-01-15;0;52;5;3;1;False
2023-01-22;0;51;5;3;1;False
2023-01-29;0;53;5;4;1;False
