date;Patrick Mahomes;Ozwald Boateng;Patricia Arquette;US Capitol attack;air travel;isPartial
2022-01-02;13;3;7;1;90;False
2022-01-09;13;2;6;0;98;False
2022-01-16;11;1;7;1;77;False
2022-01-23;38;1;6;0;84;False
2022-01-30;50;2;3;0;95;False
2022-02-06;14;3;3;1;96;False
2022-02-13;21;6;9;0;96;False
2022-02-20;9;10;12;0;98;False
2022-02-27;3;3;8;1;86;False
2022-03-06;4;3;12;0;90;False
2022-03-13;11;3;7;0;90;False
2022-03-20;3;1;6;0;88;False
2022-03-27;3;2;10;0;93;False
2022-04-03;3;2;12;1;85;False
2022-04-10;6;3;12;0;74;False
2022-04-17;4;1;7;0;82;False
2022-04-24;3;4;6;0;84;False
2022-05-01;4;3;6;0;87;False
2022-05-08;41;2;7;0;89;False
2022-05-15;5;0;8;0;93;False
2022-05-22;5;0;10;1;88;False
2022-05-29;5;1;9;0;90;False
2022-06-05;2;34;7;0;100;False
2022-06-12;5;4;7;2;87;False
2022-06-19;2;3;4;0;81;False
2022-06-26;1;0;7;0;87;False
2022-07-03;2;1;5;3;92;False
2022-07-10;3;2;8;0;95;False
2022-07-17;4;2;6;1;91;False
2022-07-24;0;1;5;1;90;False
2022-07-31;4;3;5;1;81;False
2022-08-07;1;4;6;0;78;False
2022-08-14;3;1;5;0;77;False
2022-08-21;24;0;7;0;67;False
2022-08-28;11;4;7;0;74;False
2022-09-04;9;0;6;1;80;False
2022-09-11;14;4;6;1;69;False
2022-09-18;7;0;7;0;66;False
2022-09-25;8;1;8;0;68;False
2022-10-02;9;3;6;0;65;False
2022-10-09;9;3;12;0;63;False
2022-10-16;8;3;7;0;57;False
2022-10-23;8;0;7;0;53;False
2022-10-30;8;0;5;0;53;False
2022-11-06;6;1;4;0;59;False
2022-11-13;7;4;3;0;50;False
2022-11-20;7;2;4;0;62;False
2022-11-27;8;2;5;0;61;False
2022-12-04;8;2;5;0;52;False
2022-12-11;10;3;7;0;53;False
2022-12-18;7;1;3;0;50;False
2022-12-25;6;2;9;0;66;False
2023-01-01;13;15;10;0;77;False
2023-01-08;12;5;8;0;71;False
2023-01-15;17;5;6;0;69;False
2023-01-22;40;0;5;1;64;False
2023-01-29;50;2;5;0;69;False
