date;The White Lotus;John Galliano;pope benedict;International Monetary Fund (IMF);air travel;isPartial
2022-01-02;3;0;1;0;13;False
2022-01-09;3;0;1;0;14;False
2022-01-16;3;0;6;0;11;False
2022-01-23;3;1;1;0;12;False
2022-01-30;2;1;0;0;13;False
2022-02-06;2;1;1;0;13;False
2022-02-13;2;1;0;0;13;False
2022-02-20;2;1;1;0;14;False
2022-02-27;1;1;1;0;12;False
2022-03-06;1;1;1;0;13;False
2022-03-13;1;1;0;0;13;False
2022-03-20;1;1;0;0;12;False
2022-03-27;1;0;1;0;13;False
2022-04-03;1;0;1;0;12;False
2022-04-10;1;0;0;0;10;False
2022-04-17;1;1;1;0;11;False
2022-04-24;1;0;0;0;12;False
2022-05-01;1;1;1;0;12;False
2022-05-08;1;0;1;0;12;False
2022-05-15;1;0;1;0;13;False
2022-05-22;1;1;0;0;12;False
2022-05-29;1;0;1;0;13;False
2022-06-05;1;1;1;0;14;False
2022-06-12;1;1;1;0;12;False
2022-06-19;1;1;1;0;11;False
2022-06-26;1;0;0;0;12;False
2022-07-03;1;1;1;0;13;False
2022-07-10;5;0;1;0;13;False
2022-07-17;2;1;1;0;13;False
2022-07-24;2;2;2;0;13;False
2022-07-31;2;0;1;0;11;False
2022-08-07;2;1;1;0;11;False
2022-08-14;2;0;1;0;11;False
2022-08-21;3;0;1;1;9;False
2022-08-28;2;1;0;0;10;False
2022-09-04;1;0;2;0;11;False
2022-09-11;8;1;1;0;10;False
2022-09-18;4;1;1;0;9;False
2022-09-25;3;1;0;0;10;False
2022-10-02;4;1;0;0;9;False
2022-10-09;3;1;0;0;9;False
2022-10-16;7;1;1;0;8;False
2022-10-23;15;1;1;0;7;False
2022-10-30;33;5;1;0;7;False
2022-11-06;25;2;1;0;8;False
2022-11-13;22;1;1;0;7;False
2022-11-20;19;1;0;0;9;False
2022-11-27;30;1;0;0;8;False
2022-12-04;33;0;1;0;7;False
2022-12-11;53;0;1;0;7;False
2022-12-18;33;0;1;0;7;False
2022-12-25;26;1;100;0;9;False
2023-01-01;28;0;65;0;11;False
2023-01-08;31;1;5;0;10;False
2023-01-15;26;1;2;0;10;False
2023-01-22;20;1;3;0;9;False
2023-01-29;18;1;1;0;10;False
