date;Volunteering;Geordie Greig;Scotland holidays;Tate Modern;air travel;isPartial
2022-01-02;0;0;65;51;30;False
2022-01-09;0;0;44;52;34;False
2022-01-16;0;0;40;45;25;False
2022-01-23;0;0;40;51;28;False
2022-01-30;0;0;38;52;32;False
2022-02-06;0;0;36;55;32;False
2022-02-13;0;0;34;68;32;False
2022-02-20;0;0;31;62;33;False
2022-02-27;0;0;27;50;29;False
2022-03-06;0;1;28;58;30;False
2022-03-13;0;0;34;72;30;False
2022-03-20;0;0;35;51;29;False
2022-03-27;0;0;37;56;31;False
2022-04-03;0;0;42;55;29;False
2022-04-10;0;0;44;57;24;False
2022-04-17;0;0;39;43;27;False
2022-04-24;0;0;37;43;28;False
2022-05-01;0;0;40;49;29;False
2022-05-08;0;0;30;41;30;False
2022-05-15;0;0;31;45;31;False
2022-05-22;0;0;43;43;29;False
2022-05-29;0;0;52;100;30;False
2022-06-05;0;0;38;42;33;False
2022-06-12;0;0;34;40;30;False
2022-06-19;0;0;31;40;27;False
2022-06-26;0;0;38;43;29;False
2022-07-03;0;0;34;44;31;False
2022-07-10;0;1;36;44;32;False
2022-07-17;0;0;37;44;30;False
2022-07-24;0;0;44;53;30;False
2022-07-31;0;0;41;52;27;False
2022-08-07;0;0;36;59;26;False
2022-08-14;0;0;29;53;26;False
2022-08-21;0;0;39;68;22;False
2022-08-28;0;0;37;63;25;False
2022-09-04;0;1;30;45;26;False
2022-09-11;0;0;39;52;23;False
2022-09-18;0;0;34;48;23;False
2022-09-25;0;0;30;64;23;False
2022-10-02;0;0;24;67;22;False
2022-10-09;0;0;28;74;21;False
2022-10-16;0;0;22;68;19;False
2022-10-23;0;0;23;74;18;False
2022-10-30;0;0;19;54;18;False
2022-11-06;0;0;20;57;20;False
2022-11-13;0;0;20;53;17;False
2022-11-20;0;0;16;48;21;False
2022-11-27;0;0;22;44;20;False
2022-12-04;0;1;17;43;17;False
2022-12-11;0;0;19;39;18;False
2022-12-18;0;0;24;40;17;False
2022-12-25;0;0;39;57;22;False
2023-01-01;0;2;55;61;25;False
2023-01-08;0;0;39;59;24;False
2023-01-15;0;1;36;55;23;False
2023-01-22;0;0;35;61;21;False
2023-01-29;0;0;36;71;23;False
