date;Iron Maiden;Queensland politics;energy;Australian Open 2023;air travel;isPartial
2023-01-01;1;0;43;1;1;False
2023-01-02;1;0;50;1;1;False
2023-01-03;1;0;63;0;1;False
2023-01-04;1;0;70;0;1;False
2023-01-05;9;0;69;1;1;False
2023-01-06;4;0;64;1;1;False
2023-01-07;2;0;42;1;1;False
2023-01-08;1;0;48;1;1;False
2023-01-09;1;0;74;1;1;False
2023-01-10;1;0;81;1;1;False
2023-01-11;1;0;68;1;1;False
2023-01-12;1;0;74;2;1;False
2023-01-13;1;0;60;2;1;False
2023-01-14;2;0;43;2;1;False
2023-01-15;1;0;41;4;1;False
2023-01-16;1;0;72;11;1;False
2023-01-17;1;0;72;13;1;False
2023-01-18;1;0;80;13;1;False
2023-01-19;1;0;71;22;1;False
2023-01-20;1;0;65;15;1;False
2023-01-21;2;0;44;20;1;False
2023-01-22;1;0;46;11;1;False
2023-01-23;1;0;100;9;1;False
2023-01-24;1;0;84;9;1;False
2023-01-25;1;0;76;9;1;False
2023-01-26;1;0;70;8;1;False
2023-01-27;1;0;59;8;1;False
2023-01-28;2;0;40;10;1;False
2023-01-29;1;0;41;12;1;False
2023-01-30;1;0;69;1;1;False
2023-01-31;1;0;70;0;1;False
