date;Cricket Australia;Alzheimer's;Malware;Milton Keynes;air travel;isPartial
2022-01-02;6;2;3;78;5;False
2022-01-09;5;3;3;76;5;False
2022-01-16;3;3;3;70;4;False
2022-01-23;1;3;3;74;4;False
2022-01-30;2;3;3;76;5;False
2022-02-06;1;2;3;80;5;False
2022-02-13;1;2;3;84;5;False
2022-02-20;1;2;3;87;5;False
2022-02-27;3;2;3;73;5;False
2022-03-06;2;2;3;74;5;False
2022-03-13;3;2;4;76;5;False
2022-03-20;3;2;3;78;5;False
2022-03-27;3;2;4;72;5;False
2022-04-03;2;2;3;78;5;False
2022-04-10;1;2;2;82;4;False
2022-04-17;0;2;3;78;4;False
2022-04-24;1;2;3;76;4;False
2022-05-01;0;2;4;83;5;False
2022-05-08;1;2;3;75;5;False
2022-05-15;1;3;3;97;5;False
2022-05-22;1;2;3;85;5;False
2022-05-29;1;1;2;100;5;False
2022-06-05;2;2;3;76;5;False
2022-06-12;2;1;3;82;5;False
2022-06-19;2;2;3;79;4;False
2022-06-26;2;1;3;81;5;False
2022-07-03;2;2;3;74;5;False
2022-07-10;2;1;3;83;5;False
2022-07-17;1;1;2;90;5;False
2022-07-24;1;2;2;86;5;False
2022-07-31;1;2;2;79;4;False
2022-08-07;2;2;2;79;4;False
2022-08-14;1;2;2;77;4;False
2022-08-21;1;2;2;81;4;False
2022-08-28;1;2;2;83;4;False
2022-09-04;1;2;3;74;4;False
2022-09-11;2;2;3;73;4;False
2022-09-18;3;2;3;76;4;False
2022-09-25;2;2;3;76;4;False
2022-10-02;2;2;4;78;3;False
2022-10-09;6;2;4;81;3;False
2022-10-16;3;2;3;73;3;False
2022-10-23;4;2;2;76;3;False
2022-10-30;4;2;3;72;3;False
2022-11-06;2;2;4;75;3;False
2022-11-13;5;3;3;69;3;False
2022-11-20;2;3;3;70;3;False
2022-11-27;2;3;3;77;3;False
2022-12-04;2;2;3;72;3;False
2022-12-11;2;2;3;74;3;False
2022-12-18;2;2;3;87;3;False
2022-12-25;5;2;2;83;3;False
2023-01-01;3;2;3;81;4;False
2023-01-08;2;2;3;70;4;False
2023-01-15;1;2;3;69;4;False
2023-01-22;1;2;3;70;3;False
2023-01-29;1;2;4;82;4;False
