date;Myanmar;princess anne;Tencent;Women's suffrage;air travel;isPartial
2022-01-02;2;2;1;0;4;False
2022-01-09;3;2;1;0;4;False
2022-01-16;2;2;2;0;3;False
2022-01-23;2;2;1;0;3;False
2022-01-30;3;3;1;0;4;False
2022-02-06;2;3;1;0;4;False
2022-02-13;2;2;1;0;4;False
2022-02-20;3;2;1;0;4;False
2022-02-27;3;2;1;0;3;False
2022-03-06;2;2;1;0;4;False
2022-03-13;2;1;1;0;4;False
2022-03-20;3;2;1;0;4;False
2022-03-27;2;3;1;0;4;False
2022-04-03;2;2;1;0;3;False
2022-04-10;2;2;1;0;3;False
2022-04-17;3;1;1;0;3;False
2022-04-24;3;2;1;0;3;False
2022-05-01;2;2;1;0;4;False
2022-05-08;3;2;1;0;4;False
2022-05-15;3;2;1;0;4;False
2022-05-22;2;2;0;0;4;False
2022-05-29;2;12;0;0;4;False
2022-06-05;3;7;1;0;4;False
2022-06-12;3;2;0;0;4;False
2022-06-19;2;2;1;0;3;False
2022-06-26;2;1;1;0;4;False
2022-07-03;2;1;0;0;4;False
2022-07-10;3;2;1;0;4;False
2022-07-17;3;1;0;0;4;False
2022-07-24;5;1;0;0;4;False
2022-07-31;2;1;1;0;3;False
2022-08-07;2;2;1;0;3;False
2022-08-14;2;2;1;0;3;False
2022-08-21;3;1;1;0;3;False
2022-08-28;2;1;1;0;3;False
2022-09-04;3;23;1;0;3;False
2022-09-11;3;100;0;0;3;False
2022-09-18;3;60;0;0;3;False
2022-09-25;2;5;1;0;3;False
2022-10-02;2;4;1;0;3;False
2022-10-09;2;3;1;0;3;False
2022-10-16;2;3;0;0;2;False
2022-10-23;3;3;1;0;2;False
2022-10-30;2;3;1;0;2;False
2022-11-06;2;13;0;0;2;False
2022-11-13;3;13;1;0;2;False
2022-11-20;2;6;0;0;3;False
2022-11-27;2;5;1;0;2;False
2022-12-04;2;3;1;0;2;False
2022-12-11;2;3;1;0;2;False
2022-12-18;2;3;0;0;2;False
2022-12-25;3;4;0;0;3;False
2023-01-01;2;2;1;0;3;False
2023-01-08;2;4;0;0;3;False
2023-01-15;3;2;1;0;3;False
2023-01-22;3;2;1;0;3;False
2023-01-29;3;3;1;0;3;False
