date;University administration;Buzz Aldrin;New Zealand rugby union team;Gilts;air travel;isPartial
2022-01-02;2;5;0;5;51;False
2022-01-09;3;6;1;5;59;False
2022-01-16;3;8;0;5;44;False
2022-01-23;3;8;0;5;48;False
2022-01-30;2;7;0;6;55;False
2022-02-06;3;5;0;7;55;False
2022-02-13;2;5;0;5;56;False
2022-02-20;2;3;0;6;56;False
2022-02-27;3;4;0;6;49;False
2022-03-06;2;4;0;6;52;False
2022-03-13;3;4;0;4;51;False
2022-03-20;2;7;0;6;50;False
2022-03-27;2;6;0;5;53;False
2022-04-03;2;4;0;4;49;False
2022-04-10;2;5;0;6;42;False
2022-04-17;2;3;0;4;46;False
2022-04-24;2;6;0;4;48;False
2022-05-01;2;8;0;8;50;False
2022-05-08;2;5;0;5;51;False
2022-05-15;2;5;0;6;53;False
2022-05-22;2;4;0;6;50;False
2022-05-29;3;4;0;4;51;False
2022-06-05;2;6;0;6;57;False
2022-06-12;2;5;0;7;52;False
2022-06-19;3;7;0;6;47;False
2022-06-26;4;4;0;5;50;False
2022-07-03;2;5;0;2;53;False
2022-07-10;4;7;0;5;55;False
2022-07-17;2;5;0;6;52;False
2022-07-24;2;18;0;5;52;False
2022-07-31;4;6;0;5;46;False
2022-08-07;2;4;0;7;45;False
2022-08-14;1;6;0;5;44;False
2022-08-21;3;6;1;8;39;False
2022-08-28;3;8;0;7;42;False
2022-09-04;3;6;0;12;46;False
2022-09-11;3;5;0;9;40;False
2022-09-18;2;5;0;20;39;False
2022-09-25;4;5;0;100;39;False
2022-10-02;2;5;0;44;37;False
2022-10-09;3;5;1;82;37;False
2022-10-16;3;4;0;55;33;False
2022-10-23;4;6;0;33;31;False
2022-10-30;2;4;1;21;30;False
2022-11-06;3;5;1;16;34;False
2022-11-13;2;6;1;11;29;False
2022-11-20;2;9;0;10;36;False
2022-11-27;3;4;0;12;35;False
2022-12-04;2;6;1;10;30;False
2022-12-11;2;6;0;10;30;False
2022-12-18;2;7;0;7;29;False
2022-12-25;2;6;0;5;38;False
2023-01-01;2;6;0;9;44;False
2023-01-08;4;5;0;11;41;False
2023-01-15;3;81;0;11;40;False
2023-01-22;3;50;0;9;37;False
2023-01-29;3;9;0;11;39;False
