date;Buy now, pay later;Health;Snacks;Street art;air travel;isPartial
2022-01-02;0;92;5;0;1;False
2022-01-09;0;100;5;1;1;False
2022-01-16;0;90;4;1;1;False
2022-01-23;0;91;4;1;1;False
2022-01-30;0;92;4;0;1;False
2022-02-06;0;93;4;1;1;False
2022-02-13;0;88;4;1;1;False
2022-02-20;0;88;4;1;1;False
2022-02-27;0;83;4;1;1;False
2022-03-06;0;89;4;1;1;False
2022-03-13;0;87;4;1;1;False
2022-03-20;0;94;3;1;1;False
2022-03-27;0;91;3;1;1;False
2022-04-03;0;86;3;1;1;False
2022-04-10;0;76;3;0;1;False
2022-04-17;0;74;3;1;1;False
2022-04-24;0;84;3;1;1;False
2022-05-01;0;94;4;1;1;False
2022-05-08;0;98;4;1;1;False
2022-05-15;0;99;4;1;1;False
2022-05-22;0;81;4;1;1;False
2022-05-29;0;71;3;1;1;False
2022-06-05;0;89;4;1;1;False
2022-06-12;0;83;4;0;1;False
2022-06-19;0;75;3;1;1;False
2022-06-26;0;81;4;1;1;False
2022-07-03;0;78;4;1;1;False
2022-07-10;0;77;3;0;1;False
2022-07-17;0;78;3;1;1;False
2022-07-24;0;78;4;1;1;False
2022-07-31;0;71;4;1;1;False
2022-08-07;0;72;4;1;1;False
2022-08-14;0;66;3;1;1;False
2022-08-21;0;73;3;1;1;False
2022-08-28;0;78;3;1;1;False
2022-09-04;0;95;4;1;1;False
2022-09-11;0;81;3;1;1;False
2022-09-18;0;81;3;1;1;False
2022-09-25;0;84;3;1;1;False
2022-10-02;0;89;3;1;1;False
2022-10-09;0;94;3;1;1;False
2022-10-16;0;88;4;0;1;False
2022-10-23;0;83;4;1;1;False
2022-10-30;0;80;3;1;1;False
2022-11-06;0;90;3;1;1;False
2022-11-13;0;82;3;0;1;False
2022-11-20;0;76;3;0;1;False
2022-11-27;0;85;3;1;1;False
2022-12-04;0;81;3;0;1;False
2022-12-11;0;74;3;0;1;False
2022-12-18;0;69;3;0;1;False
2022-12-25;0;58;2;0;1;False
2023-01-01;0;87;4;1;1;False
2023-01-08;0;87;4;1;1;False
2023-01-15;0;89;4;1;1;False
2023-01-22;0;89;4;1;1;False
2023-01-29;0;94;4;1;1;False
