date;Snapchat;Australian Open 2022;Dating;Kristalina Georgieva;air travel;isPartial
2022-01-02;65;6;79;0;6;False
2022-01-09;75;12;78;0;7;False
2022-01-16;61;60;83;0;5;False
2022-01-23;68;71;77;0;5;False
2022-01-30;70;28;88;0;6;False
2022-02-06;73;1;77;0;6;False
2022-02-13;75;1;77;0;6;False
2022-02-20;70;0;72;0;6;False
2022-02-27;60;1;64;0;6;False
2022-03-06;66;0;63;0;6;False
2022-03-13;62;0;62;0;6;False
2022-03-20;64;1;58;0;6;False
2022-03-27;59;0;61;0;6;False
2022-04-03;63;0;68;0;5;False
2022-04-10;67;0;71;0;5;False
2022-04-17;59;0;73;0;5;False
2022-04-24;61;0;73;0;5;False
2022-05-01;66;0;77;0;6;False
2022-05-08;64;0;68;0;6;False
2022-05-15;64;0;72;0;6;False
2022-05-22;65;0;65;0;6;False
2022-05-29;69;1;71;0;6;False
2022-06-05;65;1;70;0;6;False
2022-06-12;67;0;70;0;6;False
2022-06-19;68;0;63;0;5;False
2022-06-26;74;1;60;0;6;False
2022-07-03;96;1;67;0;6;False
2022-07-10;97;1;67;0;6;False
2022-07-17;83;0;65;0;6;False
2022-07-24;76;0;72;0;6;False
2022-07-31;76;0;72;0;5;False
2022-08-07;75;0;74;0;5;False
2022-08-14;70;0;72;0;5;False
2022-08-21;68;0;67;0;4;False
2022-08-28;75;0;66;0;5;False
2022-09-04;67;0;68;0;5;False
2022-09-11;75;0;67;0;4;False
2022-09-18;86;0;70;0;4;False
2022-09-25;100;0;66;0;4;False
2022-10-02;74;0;65;0;4;False
2022-10-09;78;0;64;0;4;False
2022-10-16;78;0;66;0;4;False
2022-10-23;82;0;66;0;3;False
2022-10-30;75;0;63;0;3;False
2022-11-06;72;0;65;0;4;False
2022-11-13;81;0;65;0;3;False
2022-11-20;74;0;63;0;4;False
2022-11-27;75;1;68;0;4;False
2022-12-04;71;0;66;0;3;False
2022-12-11;78;0;64;0;3;False
2022-12-18;85;0;85;0;3;False
2022-12-25;84;0;76;0;4;False
2023-01-01;80;0;79;0;5;False
2023-01-08;71;1;68;0;5;False
2023-01-15;85;6;82;0;4;False
2023-01-22;81;2;66;0;4;False
2023-01-29;88;1;66;0;4;False
