date;liverpool;Big Bash League;Athletic Bilbao;Vienna holidays;air travel;isPartial
2022-01-02;46;0;0;0;0;False
2022-01-09;44;0;0;0;0;False
2022-01-16;45;0;0;0;0;False
2022-01-23;42;0;0;0;0;False
2022-01-30;37;0;0;0;0;False
2022-02-06;45;0;0;0;0;False
2022-02-13;45;0;0;0;0;False
2022-02-20;47;0;0;0;0;False
2022-02-27;61;0;0;0;0;False
2022-03-06;44;0;0;0;0;False
2022-03-13;46;0;0;0;0;False
2022-03-20;44;0;0;0;0;False
2022-03-27;36;0;0;0;0;False
2022-04-03;40;0;0;0;0;False
2022-04-10;80;0;0;0;0;False
2022-04-17;55;0;0;0;0;False
2022-04-24;63;0;0;0;0;False
2022-05-01;68;0;0;0;0;False
2022-05-08;68;0;0;0;0;False
2022-05-15;56;0;0;0;0;False
2022-05-22;100;0;0;0;0;False
2022-05-29;46;0;0;0;0;False
2022-06-05;39;0;0;0;0;False
2022-06-12;38;0;0;0;0;False
2022-06-19;33;0;0;0;0;False
2022-06-26;33;0;0;0;0;False
2022-07-03;34;0;0;0;0;False
2022-07-10;55;0;0;0;0;False
2022-07-17;42;0;0;0;0;False
2022-07-24;52;0;0;0;0;False
2022-07-31;51;0;0;0;0;False
2022-08-07;38;0;0;0;0;False
2022-08-14;49;0;0;0;0;False
2022-08-21;76;0;0;0;0;False
2022-08-28;58;0;0;0;0;False
2022-09-04;46;0;0;0;0;False
2022-09-11;44;0;0;0;0;False
2022-09-18;34;0;0;0;0;False
2022-09-25;39;0;0;0;0;False
2022-10-02;46;0;0;0;0;False
2022-10-09;53;0;0;0;0;False
2022-10-16;62;0;0;0;0;False
2022-10-23;49;0;0;0;0;False
2022-10-30;40;0;0;0;0;False
2022-11-06;57;0;0;0;0;False
2022-11-13;33;0;0;0;0;False
2022-11-20;28;0;0;0;0;False
2022-11-27;29;0;0;0;0;False
2022-12-04;29;0;0;0;0;False
2022-12-11;37;0;0;0;0;False
2022-12-18;38;0;0;0;0;False
2022-12-25;52;0;0;0;0;False
2023-01-01;55;0;0;0;0;False
2023-01-08;39;0;0;0;0;False
2023-01-15;50;0;0;0;0;False
2023-01-22;35;0;0;0;0;False
2023-01-29;46;0;0;0;0;False
