date;Bars, pubs and clubs;Nine newspapers;paul kelso;Vivien Leigh;air travel;isPartial
2022-01-02;0;0;1;8;90;False
2022-01-09;0;0;0;3;98;False
2022-01-16;0;0;0;4;77;False
2022-01-23;0;0;0;5;84;False
2022-01-30;0;0;0;3;95;False
2022-02-06;0;0;0;5;96;False
2022-02-13;0;0;0;5;96;False
2022-02-20;0;0;0;9;98;False
2022-02-27;0;0;0;12;86;False
2022-03-06;0;0;0;6;90;False
2022-03-13;0;0;0;7;90;False
2022-03-20;0;0;0;4;88;False
2022-03-27;0;0;0;5;93;False
2022-04-03;0;0;1;5;85;False
2022-04-10;0;0;0;9;74;False
2022-04-17;0;0;0;5;82;False
2022-04-24;0;0;0;2;84;False
2022-05-01;0;0;0;7;87;False
2022-05-08;0;0;0;6;89;False
2022-05-15;0;0;1;5;93;False
2022-05-22;0;0;0;4;88;False
2022-05-29;0;0;0;6;90;False
2022-06-05;0;0;0;4;100;False
2022-06-12;0;0;0;3;87;False
2022-06-19;0;0;1;2;81;False
2022-06-26;0;0;0;1;87;False
2022-07-03;0;0;0;7;92;False
2022-07-10;0;0;1;4;95;False
2022-07-17;0;0;0;5;91;False
2022-07-24;0;0;0;5;90;False
2022-07-31;0;0;0;5;81;False
2022-08-07;0;0;0;3;78;False
2022-08-14;0;0;0;4;77;False
2022-08-21;0;0;0;2;67;False
2022-08-28;0;0;0;4;74;False
2022-09-04;0;0;0;3;80;False
2022-09-11;0;0;2;7;69;False
2022-09-18;0;0;0;5;66;False
2022-09-25;0;0;2;3;68;False
2022-10-02;0;0;2;5;65;False
2022-10-09;0;0;0;4;63;False
2022-10-16;0;0;0;3;57;False
2022-10-23;0;0;1;5;53;False
2022-10-30;0;0;0;6;53;False
2022-11-06;0;0;0;7;59;False
2022-11-13;0;0;0;5;50;False
2022-11-20;0;0;1;4;62;False
2022-11-27;0;0;0;3;61;False
2022-12-04;0;0;0;5;52;False
2022-12-11;0;0;0;2;53;False
2022-12-18;0;0;0;4;50;False
2022-12-25;0;0;0;7;66;False
2023-01-01;0;0;1;6;77;False
2023-01-08;0;0;1;6;71;False
2023-01-15;0;0;0;4;69;False
2023-01-22;0;0;1;5;64;False
2023-01-29;0;0;0;8;69;False
