date;Celtic;eurostar;Ronny Jackson;aberdeen;air travel;isPartial
2022-01-02;32;4;0;35;2;False
2022-01-09;32;5;0;33;2;False
2022-01-16;55;6;0;39;1;False
2022-01-23;55;6;0;35;1;False
2022-01-30;87;8;0;40;2;False
2022-02-06;60;7;0;45;2;False
2022-02-13;58;8;0;42;2;False
2022-02-20;63;7;0;40;2;False
2022-02-27;49;7;0;40;1;False
2022-03-06;38;8;0;43;2;False
2022-03-13;45;9;0;36;2;False
2022-03-20;26;9;0;39;1;False
2022-03-27;26;10;0;35;2;False
2022-04-03;67;10;0;35;1;False
2022-04-10;40;9;0;35;1;False
2022-04-17;70;12;0;39;1;False
2022-04-24;42;9;0;37;1;False
2022-05-01;76;11;0;40;1;False
2022-05-08;60;11;0;34;2;False
2022-05-15;35;11;0;36;2;False
2022-05-22;24;10;0;38;2;False
2022-05-29;23;11;0;37;2;False
2022-06-05;26;12;0;37;2;False
2022-06-12;28;10;0;37;1;False
2022-06-19;30;10;0;38;1;False
2022-06-26;31;10;0;37;1;False
2022-07-03;36;10;0;38;2;False
2022-07-10;41;10;0;43;2;False
2022-07-17;44;12;0;40;2;False
2022-07-24;33;13;0;41;2;False
2022-07-31;63;9;0;44;1;False
2022-08-07;35;9;0;41;1;False
2022-08-14;44;8;0;38;1;False
2022-08-21;62;10;0;40;1;False
2022-08-28;100;10;0;41;1;False
2022-09-04;73;9;0;51;1;False
2022-09-11;56;9;0;44;1;False
2022-09-18;42;8;0;41;1;False
2022-09-25;36;9;0;41;1;False
2022-10-02;55;9;0;38;1;False
2022-10-09;57;8;0;36;1;False
2022-10-16;50;8;0;39;1;False
2022-10-23;44;8;0;39;1;False
2022-10-30;58;7;0;40;1;False
2022-11-06;49;13;0;41;1;False
2022-11-13;27;8;0;35;1;False
2022-11-20;25;7;0;29;1;False
2022-11-27;22;8;0;33;1;False
2022-12-04;25;7;0;33;1;False
2022-12-11;33;8;0;48;1;False
2022-12-18;52;7;0;41;1;False
2022-12-25;46;8;0;34;1;False
2023-01-01;69;11;0;37;1;False
2023-01-08;50;12;0;39;1;False
2023-01-15;57;11;0;52;1;False
2023-01-22;38;10;0;52;1;False
2023-01-29;51;11;0;45;1;False
