date;elton john;Thrillers;Auckland;Bryan Ferry;air travel;isPartial
2022-01-02;39;4;26;2;9;False
2022-01-09;32;4;24;2;10;False
2022-01-16;23;3;24;2;8;False
2022-01-23;31;4;25;2;9;False
2022-01-30;25;3;27;2;10;False
2022-02-06;24;3;25;2;10;False
2022-02-13;20;4;25;2;10;False
2022-02-20;29;4;26;2;10;False
2022-02-27;28;3;23;2;9;False
2022-03-06;21;3;24;2;9;False
2022-03-13;19;4;26;2;9;False
2022-03-20;64;4;27;2;9;False
2022-03-27;27;3;26;5;10;False
2022-04-03;19;4;25;2;9;False
2022-04-10;19;4;27;2;8;False
2022-04-17;22;3;26;2;9;False
2022-04-24;20;3;23;3;9;False
2022-05-01;22;4;27;4;9;False
2022-05-08;19;3;25;2;9;False
2022-05-15;22;3;25;2;10;False
2022-05-22;24;3;26;3;9;False
2022-05-29;83;4;29;2;9;False
2022-06-05;53;3;29;2;10;False
2022-06-12;78;3;29;2;9;False
2022-06-19;100;3;28;3;8;False
2022-06-26;74;3;29;2;9;False
2022-07-03;41;3;30;3;10;False
2022-07-10;18;3;30;2;10;False
2022-07-17;17;3;29;2;9;False
2022-07-24;18;3;30;2;9;False
2022-07-31;17;3;30;2;8;False
2022-08-07;22;4;31;2;8;False
2022-08-14;17;4;29;2;8;False
2022-08-21;38;3;30;2;7;False
2022-08-28;30;4;32;21;8;False
2022-09-04;24;4;29;9;8;False
2022-09-11;18;3;29;3;7;False
2022-09-18;24;4;29;2;7;False
2022-09-25;22;3;28;3;7;False
2022-10-02;25;3;28;3;7;False
2022-10-09;20;3;28;6;7;False
2022-10-16;16;3;27;3;6;False
2022-10-23;17;4;29;2;6;False
2022-10-30;17;4;28;1;6;False
2022-11-06;19;4;30;3;6;False
2022-11-13;20;3;28;2;5;False
2022-11-20;23;3;26;2;7;False
2022-11-27;40;2;26;2;6;False
2022-12-04;24;2;29;2;5;False
2022-12-11;26;4;29;2;6;False
2022-12-18;30;4;33;2;5;False
2022-12-25;31;6;32;3;7;False
2023-01-01;23;5;35;2;8;False
2023-01-08;20;3;30;2;7;False
2023-01-15;19;3;31;3;7;False
2023-01-22;19;4;48;2;7;False
2023-01-29;17;3;49;1;7;False
