date;kate middleton;George Ezra;Abortion;Jeremy Hunt;air travel;isPartial
2022-01-02;11;1;14;0;5;False
2022-01-09;18;2;13;1;5;False
2022-01-16;7;2;13;1;4;False
2022-01-23;7;5;13;1;4;False
2022-01-30;8;7;14;1;5;False
2022-02-06;8;8;14;0;5;False
2022-02-13;7;5;12;0;5;False
2022-02-20;10;6;14;1;5;False
2022-02-27;6;5;13;0;4;False
2022-03-06;7;4;13;0;5;False
2022-03-13;8;5;14;0;5;False
2022-03-20;15;4;13;0;4;False
2022-03-27;9;7;13;0;5;False
2022-04-03;6;5;12;0;4;False
2022-04-10;7;5;13;0;4;False
2022-04-17;8;6;13;1;4;False
2022-04-24;9;11;13;0;4;False
2022-05-01;9;7;45;1;4;False
2022-05-08;7;8;22;1;5;False
2022-05-15;10;8;17;4;5;False
2022-05-22;8;7;15;1;5;False
2022-05-29;19;25;13;1;5;False
2022-06-05;21;23;13;11;5;False
2022-06-12;11;16;13;1;4;False
2022-06-19;10;11;86;3;4;False
2022-06-26;8;15;100;0;4;False
2022-07-03;11;9;30;8;5;False
2022-07-10;12;13;18;15;5;False
2022-07-17;6;14;16;1;5;False
2022-07-24;6;8;24;1;5;False
2022-07-31;8;7;17;0;4;False
2022-08-07;6;9;16;0;4;False
2022-08-14;6;7;13;0;4;False
2022-08-21;6;9;13;0;3;False
2022-08-28;6;9;17;0;4;False
2022-09-04;27;7;14;1;4;False
2022-09-11;32;12;14;0;4;False
2022-09-18;35;11;13;0;3;False
2022-09-25;10;12;15;0;3;False
2022-10-02;8;6;14;0;3;False
2022-10-09;6;4;12;65;3;False
2022-10-16;5;8;13;56;3;False
2022-10-23;5;5;13;9;3;False
2022-10-30;11;6;12;4;3;False
2022-11-06;11;5;15;6;3;False
2022-11-13;12;4;13;19;3;False
2022-11-20;8;3;13;3;3;False
2022-11-27;10;4;13;1;3;False
2022-12-04;13;3;12;2;3;False
2022-12-11;16;3;12;1;3;False
2022-12-18;13;9;12;1;3;False
2022-12-25;12;5;12;1;3;False
2023-01-01;10;8;13;1;4;False
2023-01-08;13;8;14;1;4;False
2023-01-15;7;13;13;2;4;False
2023-01-22;7;8;14;4;3;False
2023-01-29;11;6;14;2;4;False
