date;Andrea Riseborough;Aston Martin;Aston Villa;Oklahoma;air travel;isPartial
2022-01-02;0;7;39;2;2;False
2022-01-09;0;7;100;2;3;False
2022-01-16;0;6;41;1;2;False
2022-01-23;0;6;34;2;2;False
2022-01-30;0;7;29;2;3;False
2022-02-06;0;9;30;2;3;False
2022-02-13;0;6;31;1;3;False
2022-02-20;0;7;24;1;3;False
2022-02-27;0;6;22;1;2;False
2022-03-06;0;6;29;2;2;False
2022-03-13;0;7;35;2;2;False
2022-03-20;0;7;13;2;2;False
2022-03-27;0;6;18;1;2;False
2022-04-03;0;6;26;2;2;False
2022-04-10;0;7;15;2;2;False
2022-04-17;0;6;19;1;2;False
2022-04-24;0;6;20;2;2;False
2022-05-01;0;7;23;3;2;False
2022-05-08;0;7;56;2;2;False
2022-05-15;0;7;42;3;2;False
2022-05-22;0;6;56;2;2;False
2022-05-29;0;6;24;3;2;False
2022-06-05;0;6;21;2;3;False
2022-06-12;0;7;20;2;2;False
2022-06-19;0;7;19;2;2;False
2022-06-26;0;7;23;2;2;False
2022-07-03;0;7;26;2;2;False
2022-07-10;0;8;26;2;3;False
2022-07-17;0;8;51;2;2;False
2022-07-24;0;8;28;2;2;False
2022-07-31;0;7;39;2;2;False
2022-08-07;0;6;43;1;2;False
2022-08-14;0;6;30;1;2;False
2022-08-21;0;6;37;2;2;False
2022-08-28;0;6;86;1;2;False
2022-09-04;0;6;17;1;2;False
2022-09-11;0;8;26;2;2;False
2022-09-18;0;6;13;2;2;False
2022-09-25;0;6;14;2;2;False
2022-10-02;0;6;27;2;2;False
2022-10-09;0;6;32;2;2;False
2022-10-16;0;7;59;1;2;False
2022-10-23;0;6;51;1;1;False
2022-10-30;0;6;21;1;1;False
2022-11-06;0;6;88;2;2;False
2022-11-13;0;6;25;2;1;False
2022-11-20;1;5;10;1;2;False
2022-11-27;0;5;13;2;2;False
2022-12-04;0;5;12;2;1;False
2022-12-11;0;6;24;1;1;False
2022-12-18;0;6;17;2;1;False
2022-12-25;0;6;47;4;2;False
2023-01-01;0;6;50;2;2;False
2023-01-08;0;5;57;2;2;False
2023-01-15;0;6;38;2;2;False
2023-01-22;3;6;33;2;2;False
2023-01-29;3;6;38;2;2;False
