date;David Hockney;Food & drink industry;Corinne Bailey Rae;Israel;air travel;isPartial
2022-01-02;32;0;3;0;85;False
2022-01-09;33;0;8;0;98;False
2022-01-16;27;0;3;0;73;False
2022-01-23;26;0;6;0;80;False
2022-01-30;32;0;4;0;92;False
2022-02-06;54;0;5;0;91;False
2022-02-13;27;0;5;0;92;False
2022-02-20;32;0;4;0;93;False
2022-02-27;27;0;5;0;82;False
2022-03-06;23;0;3;0;86;False
2022-03-13;35;0;5;0;85;False
2022-03-20;29;0;4;0;83;False
2022-03-27;27;0;3;0;88;False
2022-04-03;28;0;5;0;82;False
2022-04-10;23;0;5;0;70;False
2022-04-17;27;0;15;0;77;False
2022-04-24;31;0;12;0;80;False
2022-05-01;36;0;7;0;83;False
2022-05-08;33;0;3;0;85;False
2022-05-15;32;0;1;0;88;False
2022-05-22;25;0;3;0;83;False
2022-05-29;19;0;7;0;85;False
2022-06-05;26;0;2;0;95;False
2022-06-12;25;0;4;0;85;False
2022-06-19;27;0;2;0;77;False
2022-06-26;21;0;4;0;83;False
2022-07-03;31;0;3;0;87;False
2022-07-10;32;0;4;0;90;False
2022-07-17;19;0;2;0;86;False
2022-07-24;18;0;2;0;85;False
2022-07-31;20;0;3;0;76;False
2022-08-07;21;0;2;0;75;False
2022-08-14;18;0;2;0;73;False
2022-08-21;22;0;3;0;64;False
2022-08-28;19;0;2;0;70;False
2022-09-04;28;0;2;0;76;False
2022-09-11;36;0;1;0;66;False
2022-09-18;25;0;3;0;64;False
2022-09-25;25;0;4;0;65;False
2022-10-02;26;0;3;0;62;False
2022-10-09;34;0;3;0;61;False
2022-10-16;22;0;0;0;54;False
2022-10-23;21;0;2;0;51;False
2022-10-30;26;0;7;0;50;False
2022-11-06;29;0;2;0;56;False
2022-11-13;41;0;3;0;47;False
2022-11-20;66;0;3;0;59;False
2022-11-27;35;0;4;0;58;False
2022-12-04;29;0;1;0;49;False
2022-12-11;24;0;2;0;50;False
2022-12-18;100;0;3;0;47;False
2022-12-25;34;0;5;0;63;False
2023-01-01;32;0;4;0;73;False
2023-01-08;43;0;4;0;67;False
2023-01-15;38;0;0;0;66;False
2023-01-22;39;0;4;0;60;False
2023-01-29;42;0;0;0;65;False
