date;Robots;Zoology;Tripadvisor;house prices;air travel;isPartial
2022-01-02;9;1;60;59;6;False
2022-01-09;10;1;72;60;7;False
2022-01-16;8;2;67;60;6;False
2022-01-23;9;2;77;64;6;False
2022-01-30;9;2;74;70;7;False
2022-02-06;9;2;77;70;7;False
2022-02-13;8;2;73;60;7;False
2022-02-20;8;2;76;61;7;False
2022-02-27;7;1;75;57;6;False
2022-03-06;7;2;77;58;7;False
2022-03-13;8;2;77;57;6;False
2022-03-20;8;1;80;67;6;False
2022-03-27;8;1;79;60;7;False
2022-04-03;7;2;80;62;6;False
2022-04-10;7;1;80;58;5;False
2022-04-17;8;1;86;60;6;False
2022-04-24;8;1;82;54;6;False
2022-05-01;9;2;86;62;6;False
2022-05-08;10;1;83;58;6;False
2022-05-15;19;1;84;59;7;False
2022-05-22;26;1;85;53;6;False
2022-05-29;18;1;82;52;6;False
2022-06-05;15;1;77;59;7;False
2022-06-12;13;2;81;61;6;False
2022-06-19;10;1;86;61;6;False
2022-06-26;10;1;85;68;6;False
2022-07-03;9;1;88;65;7;False
2022-07-10;10;1;86;60;7;False
2022-07-17;9;1;82;61;7;False
2022-07-24;9;2;93;65;7;False
2022-07-31;8;1;100;73;6;False
2022-08-07;11;2;99;65;6;False
2022-08-14;9;2;89;68;6;False
2022-08-21;8;2;93;72;5;False
2022-08-28;9;1;93;65;5;False
2022-09-04;9;2;76;53;6;False
2022-09-11;10;2;79;51;5;False
2022-09-18;10;2;68;57;5;False
2022-09-25;9;2;70;69;5;False
2022-10-02;10;2;69;61;5;False
2022-10-09;9;2;66;60;5;False
2022-10-16;8;1;66;51;4;False
2022-10-23;7;2;65;55;4;False
2022-10-30;8;1;56;59;4;False
2022-11-06;9;2;57;57;4;False
2022-11-13;9;1;52;43;4;False
2022-11-20;10;1;49;36;5;False
2022-11-27;11;1;43;41;4;False
2022-12-04;10;1;41;41;4;False
2022-12-11;10;1;41;39;4;False
2022-12-18;9;1;44;36;4;False
2022-12-25;8;1;62;60;5;False
2023-01-01;8;2;76;64;6;False
2023-01-08;9;1;73;60;5;False
2023-01-15;9;1;72;59;5;False
2023-01-22;10;2;69;57;5;False
2023-01-29;9;2;70;58;5;False
