date;Nicolas Winding Refn;Environmental sustainability;olivia newton-john;Ashton Kutcher;air travel;isPartial
2022-01-02;0;2;0;5;18;False
2022-01-09;0;3;1;5;20;False
2022-01-16;1;2;0;5;15;False
2022-01-23;0;4;1;5;17;False
2022-01-30;0;3;1;4;19;False
2022-02-06;0;2;0;5;19;False
2022-02-13;0;2;1;5;19;False
2022-02-20;0;2;1;5;19;False
2022-02-27;0;2;1;9;17;False
2022-03-06;0;3;1;9;18;False
2022-03-13;0;3;1;6;18;False
2022-03-20;0;2;1;7;17;False
2022-03-27;0;3;3;7;18;False
2022-04-03;0;2;1;6;17;False
2022-04-10;0;1;1;5;15;False
2022-04-17;0;2;2;5;16;False
2022-04-24;0;2;1;4;17;False
2022-05-01;0;2;1;4;17;False
2022-05-08;0;3;1;3;18;False
2022-05-15;0;3;1;5;18;False
2022-05-22;0;2;1;4;17;False
2022-05-29;0;1;1;5;18;False
2022-06-05;0;2;1;4;20;False
2022-06-12;0;3;1;4;18;False
2022-06-19;0;2;1;3;16;False
2022-06-26;0;1;1;4;17;False
2022-07-03;0;2;1;4;18;False
2022-07-10;0;2;1;5;19;False
2022-07-17;0;2;1;4;18;False
2022-07-24;0;2;1;5;18;False
2022-07-31;0;1;1;4;16;False
2022-08-07;0;1;100;26;15;False
2022-08-14;0;1;8;6;15;False
2022-08-21;0;2;5;6;13;False
2022-08-28;0;1;3;5;15;False
2022-09-04;0;2;1;4;16;False
2022-09-11;0;2;2;6;14;False
2022-09-18;0;2;1;4;13;False
2022-09-25;0;2;2;5;13;False
2022-10-02;0;2;3;6;13;False
2022-10-09;0;2;6;8;13;False
2022-10-16;0;2;3;5;11;False
2022-10-23;0;3;2;6;10;False
2022-10-30;0;2;1;4;10;False
2022-11-06;0;3;1;6;12;False
2022-11-13;0;3;1;6;10;False
2022-11-20;0;3;1;4;12;False
2022-11-27;0;2;1;7;12;False
2022-12-04;0;2;1;11;10;False
2022-12-11;0;2;2;5;10;False
2022-12-18;0;1;2;7;10;False
2022-12-25;0;1;4;7;13;False
2023-01-01;1;2;1;5;15;False
2023-01-08;1;3;1;5;14;False
2023-01-15;0;2;1;9;14;False
2023-01-22;0;2;1;9;13;False
2023-01-29;0;2;1;20;14;False
