date;Cryptocurrencies;Africa;Greggs;Kevin Costner;air travel;isPartial
2022-01-02;1;80;26;3;4;False
2022-01-09;0;94;22;2;4;False
2022-01-16;0;73;21;2;3;False
2022-01-23;0;73;21;2;3;False
2022-01-30;0;68;21;1;4;False
2022-02-06;0;62;28;1;4;False
2022-02-13;0;59;32;2;4;False
2022-02-20;0;60;33;2;4;False
2022-02-27;0;59;26;2;4;False
2022-03-06;0;58;28;2;4;False
2022-03-13;0;60;27;2;4;False
2022-03-20;0;65;27;1;4;False
2022-03-27;0;73;24;3;4;False
2022-04-03;0;65;24;2;4;False
2022-04-10;0;62;26;2;3;False
2022-04-17;0;56;28;1;3;False
2022-04-24;0;58;23;2;3;False
2022-05-01;0;57;25;3;4;False
2022-05-08;1;57;25;2;4;False
2022-05-15;0;59;25;2;4;False
2022-05-22;0;60;23;2;4;False
2022-05-29;0;52;29;3;4;False
2022-06-05;0;70;23;2;4;False
2022-06-12;0;81;23;2;4;False
2022-06-19;0;70;23;3;3;False
2022-06-26;0;81;23;2;4;False
2022-07-03;0;73;24;2;4;False
2022-07-10;0;93;23;2;4;False
2022-07-17;0;89;27;1;4;False
2022-07-24;0;93;32;1;4;False
2022-07-31;0;67;31;2;3;False
2022-08-07;0;64;37;2;3;False
2022-08-14;0;82;33;2;3;False
2022-08-21;0;100;33;3;3;False
2022-08-28;0;57;32;3;3;False
2022-09-04;0;82;27;2;3;False
2022-09-11;0;79;32;2;3;False
2022-09-18;0;61;35;2;3;False
2022-09-25;0;65;29;1;3;False
2022-10-02;0;79;32;1;3;False
2022-10-09;0;65;30;2;3;False
2022-10-16;0;53;34;2;2;False
2022-10-23;0;58;31;1;2;False
2022-10-30;0;96;34;2;2;False
2022-11-06;0;71;36;2;2;False
2022-11-13;0;67;37;2;2;False
2022-11-20;0;89;30;2;3;False
2022-11-27;0;60;34;5;3;False
2022-12-04;0;55;33;3;2;False
2022-12-11;0;53;33;3;2;False
2022-12-18;0;50;36;4;2;False
2022-12-25;0;57;31;4;3;False
2023-01-01;0;58;31;4;3;False
2023-01-08;0;57;25;4;3;False
2023-01-15;0;65;27;4;3;False
2023-01-22;0;68;28;3;3;False
2023-01-29;0;86;34;3;3;False
